Block ID,Block Bid,Builder ID,Transaction ID,Transaction GAS,Transaction MEV
,,,10162,81.207,0
,,,10170,66.2733,9.83285
,,,10175,34.6531,0
,,,10034,23.1569,0
,,,1231,22.1561,0
,,,10103,22.1461,76.6689
,,,-1231,22.1361,0
,,,10014,21.9534,0
,,,10101,21.8319,56.7768
23,272,3
,,,10181,97.876,0
,,,10168,85.3385,0
,,,10177,66.1591,0
,,,10169,60.379,0
,,,10182,54.6166,33.0643
,,,10173,51.0294,53.6122
,,,10183,28.3161,26.2429
,,,10179,24.6344,0
,,,10090,15.8716,0
,,,10059,12.4515,87.188
24,274,2
,,,10191,81.378,0
,,,10176,71.615,21.6558
,,,10178,66.1249,32.172
,,,10187,60.9933,0
,,,10165,54.0351,76.3904
,,,10184,48.9061,26.1504
,,,10180,39.3755,0
,,,1266,21.6209,0
,,,10020,21.6109,70.1765
,,,-1266,21.6009,0
25,286.5,3
,,,10185,96.0914,76.805
,,,10199,75.9768,0
,,,10188,74.7681,77.7871
,,,10189,74.6458,0
,,,10193,73.6365,38.7931
,,,10190,68.5725,0
,,,10186,45.8856,0
,,,10196,12.3974,37.1547
,,,10063,12.3085,0
,,,10072,11.3937,0
26,287,1
,,,10197,93.5713,63.9051
,,,10204,87.7931,41.271
,,,10200,87.1372,67.2808
,,,10194,76.9243,0
,,,10201,66.9299,0
,,,10192,59.3728,93.7259
,,,10207,45.4086,47.5582
,,,10122,21.4554,1.70791
,,,1288,21.2909,0
,,,10012,21.2809,79.4085
27,274.5,2
,,,10212,77.792,36.4858
,,,10213,61.7221,76.4734
,,,10202,55.2413,0
,,,10211,54.8657,0
,,,10210,33.0963,8.02772
,,,10167,20.8187,8.97339
,,,10033,20.1763,8.50424
,,,1308,19.9315,0
,,,10164,19.9215,68.7821
,,,-1308,19.9115,0
28,275,4
,,,10203,94.9843,58.3367
,,,10221,79.0541,0
,,,10206,65.6478,0
,,,10223,53.0072,0
,,,10205,45.6261,0
,,,10034,11.017,57.026
,,,10174,10.2433,43.3655
,,,10163,10.0344,26.3715
,,,10048,8.70785,0
,,,10105,8.55656,0
29,288,1
,,,10209,99.8049,0
,,,10219,94.441,0
,,,10224,82.0881,0
,,,10222,74.7982,28.4301
,,,10217,68.832,0
,,,10216,63.3177,0
,,,10227,57.2659,0
,,,10220,55.7916,0.872028
,,,10226,55.1912,0
,,,10230,53.0527,0
30,278.5,4
,,,10235,97.5906,0
,,,10228,78.6354,0
,,,10229,65.2608,72.8786
,,,10238,63.6651,39.6062
,,,10225,56.9781,0
,,,10231,27.0844,35.369
,,,10237,9.90999,0
,,,10123,6.8962,35.3982
,,,10152,5.20096,48.6005
,,,10098,4.3586,20.1597
31,279.5,2
,,,10241,88.9558,0
,,,10233,72.1234,23.9555
,,,10234,56.2841,0
,,,10236,53.3221,0
,,,10245,41.3788,0
,,,10239,23.7395,16.9746
,,,10242,23.369,0
,,,10208,19.696,35.0844
,,,10195,19.4598,0
,,,10104,19.2332,50.3045
32,288.5,4
,,,10244,96.3825,0
,,,10248,95.8274,0
,,,10243,74.6641,0
,,,10250,56.6172,45.9734
,,,10249,56.3516,70.6514
,,,10253,30.0739,0
,,,10246,16.9187,0
,,,10232,12.5199,4.89148
,,,10247,10.7463,18.014
,,,10240,3.55805,0
33,291.5,2
,,,10262,89.2775,84.553
,,,10256,58.1976,23.0863
,,,10255,57.2645,0
,,,10261,54.0865,0
,,,10251,43.5558,16.3676
,,,10254,40.7319,28.5526
,,,10260,27.5779,31.7802
,,,10130,18.9013,0
,,,10060,17.3266,31.3479
,,,10036,16.4042,0
34,190,1
,,,10268,68.1526,0
,,,10267,59.4357,15.4258
,,,10266,50.6294,59.4756
,,,10035,16.2892,0
,,,1409,15.5388,0
,,,10071,15.5288,84.6259
,,,-1409,15.5188,0
,,,10119,15.4836,0
,,,10088,14.6143,0
,,,10172,13.8778,0
35,295,4
,,,10273,93.9714,62.2961
,,,10257,90.0475,0
,,,10265,76.1903,0
,,,10276,74.5962,0
,,,10272,56.258,70.3514
,,,10269,22.5674,0
,,,10278,19.2962,47.0791
,,,10263,16.6248,80.5776
,,,10252,15.3879,23.8188
,,,10270,15.1719,0
36,214,1
,,,10284,99.9419,24.5082
,,,10277,54.009,0
,,,1454,26.964,0
,,,10264,26.954,95.8046
,,,-1454,26.944,0
,,,10279,17.9646,0
,,,10274,16.3734,0
,,,1439,13.7445,0
,,,10044,13.7345,45.9638
,,,-1439,13.7245,0
37,293.5,3
,,,10294,98.1544,0
,,,10289,89.3148,0
,,,10281,88.2056,0
,,,10275,70.5008,21.8561
,,,10288,53.9011,20.8839
,,,10282,35.2829,0
,,,10286,35.0134,12.2466
,,,10292,20.0026,19.7364
,,,10291,13.7367,99.0015
,,,10285,10.6426,0
38,243,2
,,,10296,84.1872,0
,,,10295,56.8151,79.7786
,,,10299,39.5357,0
,,,10303,34.3062,65.1818
,,,10283,29.4087,0
,,,10301,27.3229,79.9883
,,,10297,23.1597,68.7668
,,,10293,21.7707,0
,,,10098,13.1263,0
,,,10045,12.8537,0
39,98,3
,,,10300,44.6447,15.5006
,,,10302,39.8674,97.905
,,,10298,33.7688,0
,,,10305,26.1918,62.4583
,,,10310,15.1301,17.559
,,,10005,2.98667,76.6908
,,,10029,2.2673,0
,,,10290,2.24312,0
,,,10030,2.02927,80.033
,,,10027,1.78112,65.487
40,297.5,1
,,,10318,90.3656,27.093
,,,10316,86.3874,33.1305
,,,10313,83.6829,0
,,,10314,75.912,0
,,,10306,68.852,32.9315
