Block Number,Builder ID,Bid Value,Block Value,Reward
103,1,192.5,313.016,120.516
104,3,197,351.116,154.116
105,1,312,443.17,131.17
106,3,346.5,532.782,186.282
107,1,285,389.492,104.492
108,2,165.5,239.832,74.3321
109,2,349,489.368,140.368
110,3,219,322.704,103.704
111,4,334.5,469.632,135.132
112,4,280.5,374.038,93.5378
113,3,356,786.519,430.519
114,3,170,265.76,95.7605
115,1,353.5,525.027,171.527
116,4,322,447.058,125.058
117,1,351,522.458,171.458
118,4,356,683.934,327.934
119,3,315,401.792,86.792
120,2,135,247.961,112.961
121,1,350,500.993,150.993
122,2,266,368.439,102.439
123,3,353.5,574.485,220.985
124,4,324.5,441.461,116.961
125,1,280.5,380.687,100.187
126,2,353.5,521.827,168.327
127,1,354,513.151,159.151
128,3,358,560.291,202.291
129,4,318,401.68,83.6799
130,1,352,479.257,127.257
131,3,296,390.714,94.7138
132,4,357.5,671.026,313.526
133,3,234.5,359.086,124.586
134,1,123,218.618,95.6181
135,4,199.5,296.662,97.1624
136,2,285.5,384.892,99.3919
137,2,333,442.759,109.759
138,4,361.5,726.326,364.826
139,3,204.5,346.95,142.45
140,1,359.5,677.178,317.678
141,3,284.5,375.277,90.7772
142,3,359,558.528,199.528
143,3,147.5,270.881,123.381
144,4,362.5,699.483,336.983
145,4,360,550.72,190.72
146,3,355,492.713,137.713
147,1,363.5,720.935,357.435
148,4,327.5,456.004,128.504
149,1,355.5,475.877,120.377
150,1,364.5,595.366,230.866
151,2,146,245.302,99.3024
152,4,290.5,384.801,94.3007
153,4,365,611.721,246.721
154,3,366,679.305,313.305
155,3,367.5,551.961,184.461
156,2,247,370.899,123.899
157,1,289,412.115,123.115
158,1,359.5,500.876,141.376
159,3,367,652.628,285.628
160,1,261,374.244,113.244
161,2,159,252.533,93.5332
162,2,368,687.946,319.946
163,3,370,685.965,315.965
164,4,218.5,324.539,106.039
165,4,358.5,508.445,149.945
166,2,368.5,526.194,157.694
167,3,364.5,564.759,200.259
168,3,355,484.342,129.342
169,2,366.5,605.626,239.126
170,2,367.5,511.308,143.808
171,3,336.5,455.66,119.16
172,1,371,663.555,292.555
173,2,371,528.787,157.787
174,1,335,455.452,120.452
175,4,346,470.914,124.914
176,4,205.5,294.044,88.5437
177,2,358.5,494.347,135.847
178,1,276,364.109,88.1095
179,1,337,445.166,108.166
180,4,357,470.954,113.954
181,4,371,580.521,209.521
182,3,234.5,341.375,106.875
183,4,344,464.554,120.554
184,3,233,320.804,87.8041
185,4,363,460.834,97.8342
186,3,371.5,561.022,189.522
187,4,323.5,449.552,126.052
188,2,234,315.565,81.5655
189,1,290.5,397.901,107.401
190,4,156,230.329,74.3286
191,3,216.5,341.047,124.547
192,2,362.5,490.674,128.174
193,3,367.5,587.533,220.033
194,2,219.5,305.015,85.5151
195,4,303,401.902,98.902
196,2,291,395.07,104.07
197,1,308.5,407.866,99.3665
198,3,233,313.045,80.0454
199,2,368,511.68,143.68
200,3,254,338.575,84.575
201,1,371.5,527.039,155.539
202,2,372.5,667.466,294.966
203,3,308.5,426.924,118.424
204,3,198,284.375,86.3747
205,4,269.5,424.47,154.97
206,1,372.5,572.488,199.988
207,4,373,574.253,201.253
208,4,197,293.14,96.1399
209,1,259,365.536,106.536
210,3,360,497.651,137.651
211,4,231,343.886,112.886
212,1,369.5,510.87,141.37
213,1,368,484.88,116.88
214,4,374.5,527.205,152.705
215,4,320,425.949,105.949
216,4,375.5,613.374,237.874
217,3,377,606.52,229.52
218,4,253,332.198,79.1981
219,1,267,394.026,127.026
220,1,285,378.751,93.7508
221,3,377.5,736.492,358.992
222,2,305,452.443,147.443
223,3,236,347.162,111.162
224,4,325.5,453.752,128.252
225,3,136,236.694,100.694
226,3,288,381.371,93.3711
227,4,281.5,378.662,97.1619
228,2,350,468.309,118.309
229,3,298.5,401.52,103.02
230,4,374,576.807,202.807
231,1,337.5,470.775,133.275
232,3,311.5,425.019,113.519
233,2,359.5,494.897,135.397
234,4,180.5,258.226,77.7258
235,1,374.5,526.655,152.155
236,3,370.5,497.167,126.667
237,4,301.5,432.525,131.025
238,3,363.5,481.712,118.212
239,2,224,327.548,103.548
240,2,294,407.107,113.107
241,1,253.5,343.78,90.2801
242,4,377.5,685.908,308.408
243,4,374.5,528.902,154.402
244,4,325.5,429.978,104.478
245,3,377.5,578.649,201.149
246,4,378,596.968,218.968
247,1,376,525.058,149.058
248,3,370,506.055,136.055
249,3,239,368.871,129.871
250,3,313,451.02,138.02
251,1,173,221.92,48.9202
252,2,376,588.628,212.628
253,2,380,653.74,273.74
254,2,289.5,383.26,93.76
255,1,382,612.877,230.877
256,1,375,546.662,171.662
257,3,339.5,441.915,102.415
258,2,237.5,368.569,131.069
259,4,372,499.379,127.379
260,4,262.5,340.772,78.272
261,3,203,270.355,67.3553
262,1,380.5,652.531,272.031
263,2,378.5,586.927,208.427
264,1,306,423.779,117.779
265,3,373.5,516.008,142.508
266,3,375.5,541.804,166.304
267,3,381.5,640.376,258.876
268,1,325.5,431.809,106.309
269,2,242,324.791,82.7906
270,2,320.5,436.888,116.388
271,1,381,667.184,286.184
272,3,360,532.291,172.291
273,1,371.5,514.862,143.362
274,3,294.5,366.849,72.3492
275,4,306.5,420.533,114.033
276,3,381,594.989,213.989
277,3,243.5,337.284,93.7839
278,3,314.5,435.331,120.831
279,2,382,581.104,199.104
280,2,383.5,787.562,404.062
281,3,375.5,502.73,127.23
282,3,382.5,581.053,198.553
283,2,382.5,596.405,213.905
284,3,332.5,464.555,132.055
285,4,318,409.654,91.6542
286,3,327.5,452.085,124.585
287,1,340.5,468.174,127.674
288,2,320.5,406.121,85.6211
289,2,383,672.718,289.718
290,2,380,619.839,239.839
291,3,308.5,392.796,84.2957
292,4,316.5,415.385,98.885
293,4,383.5,510.497,126.997
294,4,336,447.629,111.629
295,3,384,615.634,231.634
296,2,386,729.102,343.102
297,4,383.5,571.829,188.329
298,1,237.5,320.923,83.423
299,4,253.5,306.265,52.7646
300,4,384.5,664.015,279.515
301,2,322,403.4,81.3999
302,3,327,425.222,98.2222
303,2,385,653.017,268.017
304,4,340.5,446.115,105.615
305,4,147.5,215.915,68.4149
306,2,275.5,364.276,88.7761
307,4,384.5,700.794,316.294
308,4,149.5,213.156,63.6559
309,2,386.5,729.121,342.621
310,4,386,581.127,195.127
311,3,329.5,418.452,88.9519
312,3,322,410.293,88.293
313,1,312,402.084,90.0842
314,2,233.5,275.315,41.8149
315,3,383,547.994,164.994
316,3,382.5,565.532,183.032
317,2,326.5,417.528,91.0281
318,3,208,330.336,122.336
319,2,377,548.181,171.181
320,4,386.5,616.88,230.38
321,2,279,394.181,115.181
322,2,335.5,429.491,93.9909
323,3,389,735.679,346.679
324,2,244.5,292.719,48.2194
325,3,387,686.786,299.786
326,1,322,424.798,102.798
327,3,281.5,375.242,93.7419
328,3,379.5,506.9,127.4
329,3,239.5,317.735,78.2354
330,3,384,525.154,141.154
331,4,187.5,275.187,87.687
332,4,294,395.525,101.525
333,1,342,476.994,134.994
334,1,335,434.952,99.9523
335,2,344,441.676,97.6759
336,3,386,546.99,160.99
337,1,254.5,370.022,115.522
338,1,290.5,381.479,90.9786
339,3,387.5,718.312,330.812
340,1,208,274.302,66.3018
341,2,326.5,411.38,84.8798
342,4,308,427.053,119.053
343,3,385.5,556.605,171.105
344,1,256.5,332.22,75.7197
345,4,388,578.218,190.218
346,1,322,402.406,80.406
347,4,306.5,397.756,91.2557
348,2,164,251.418,87.4176
349,4,390,729.408,339.408
350,3,381,513.007,132.007
351,4,245,323.92,78.9198
352,2,294.5,381.875,87.3749
353,3,388.5,635.257,246.757
354,1,321,427.006,106.006
355,3,291,381.574,90.5744
356,2,389.5,613.251,223.751
357,4,260,346.856,86.8562
358,1,389,587.424,198.424
359,4,347.5,490.6,143.1
360,2,229.5,298.343,68.843
361,1,367.5,548.798,181.298
362,3,247.5,351.44,103.94
363,3,181.5,248.69,67.1901
364,1,338,459.915,121.915
365,1,373,541.93,168.93
366,3,387.5,596.272,208.772
367,4,385.5,517.225,131.725
368,3,346.5,490.628,144.128
369,1,262,325.981,63.9805
370,2,129.5,188.634,59.1344
371,3,390.5,636.169,245.669
372,2,240.5,326.475,85.9754
373,2,351,501.405,150.405
374,3,385.5,552.586,167.086
375,3,259,318.654,59.6536
376,4,390,550.621,160.621
377,2,335,444.365,109.365
378,4,338.5,476.642,138.142
379,4,156.5,232.671,76.1712
380,3,387.5,615.69,228.19
381,4,343.5,465.681,122.181
382,4,274,371.197,97.1972
383,4,351.5,465.268,113.768
384,1,259,330.876,71.8756
385,1,284,341.008,57.0081
386,1,306,395.676,89.6761
387,4,391.5,638.301,246.801
388,4,391,712.538,321.538
389,1,167,239.073,72.0732
390,4,390.5,628.689,238.189
391,4,223.5,307.584,84.0841
392,4,387,582.076,195.076
393,2,333.5,438.382,104.882
394,1,348.5,485.342,136.842
395,3,180.5,271.362,90.8616
396,1,358,489.973,131.973
397,1,284.5,375.356,90.8564
398,3,386,517.931,131.931
399,3,307.5,435.745,128.245
400,3,386,541.182,155.182
401,4,381.5,513.152,131.652
402,4,391,715.931,324.931
403,4,389,543.081,154.081
404,4,385,541.482,156.482
405,2,390,512.455,122.455
406,1,319.5,444.153,124.653
407,3,368,508.182,140.182
408,4,333,419.302,86.3019
409,2,322,432.94,110.94
410,1,393,666.623,273.623
411,3,392,601.343,209.343
412,3,307.5,400.813,93.3125
413,4,392,619.709,227.709
414,1,388.5,513.675,125.175
415,4,326.5,443.283,116.783
416,4,383.5,515.538,132.038
417,1,363,462.475,99.4754
418,3,258.5,363.194,104.694
419,4,298.5,414.677,116.177
420,1,269,352.204,83.2036
421,2,392.5,567.095,174.595
422,3,339.5,432.25,92.7503
423,1,374,507.133,133.133
424,4,175,252.261,77.2608
425,1,392.5,607.049,214.549
426,2,330,431.479,101.479
427,3,392.5,653.409,260.909
428,1,340.5,504.908,164.408
429,3,393,570.208,177.208
430,3,269,368.678,99.678
431,3,393.5,597.62,204.12
432,3,346,469.957,123.957
433,4,380.5,500.953,120.453
434,4,301.5,379.893,78.3933
435,1,392,579.742,187.742
436,1,352,486.828,134.828
437,1,237.5,316.789,79.2893
438,3,264.5,351.868,87.3684
439,3,341,479.118,138.118
440,4,375,481.617,106.617
441,1,338.5,457.735,119.235
442,2,384,501.041,117.041
443,4,376,497.122,121.122
444,4,393.5,675.342,281.842
445,4,393.5,619.265,225.765
446,1,379,508.613,129.613
447,2,346.5,474.762,128.262
448,2,360.5,493.77,133.27
449,2,362,495.48,133.48
450,4,394,630.466,236.466
451,1,360,471.248,111.248
452,1,345.5,427.814,82.3144
453,1,325,421.623,96.6226
454,2,390.5,528.736,138.236
455,1,266.5,323.352,56.8519
456,4,355,450.839,95.8392
457,4,394,588.096,194.096
458,4,393.5,646.121,252.621
459,3,314,418.772,104.772
460,4,394.5,633.38,238.88
461,1,393.5,649.016,255.516
462,1,280.5,389.397,108.897
463,1,349,470.152,121.152
464,3,350,451.862,101.862
465,2,392,532.776,140.776
466,4,395,578.19,183.19
467,2,395,535.639,140.639
468,2,199.5,267.446,67.9463
469,2,395.5,641.015,245.515
470,1,394,530.77,136.77
471,2,280.5,358.004,77.5037
472,3,360.5,470.685,110.185
473,2,392.5,580.388,187.888
474,2,228.5,307.211,78.7107
475,3,394.5,536.073,141.573
476,4,262.5,362.723,100.223
477,2,285,364.188,79.1883
478,3,306.5,419.29,112.79
479,1,270.5,389.251,118.751
480,2,338.5,457.727,119.227
481,4,395,567.21,172.21
482,4,193,316.64,123.64
483,2,280.5,365.334,84.8345
484,3,295.5,387.635,92.1353
485,1,386.5,512.735,126.235
486,2,385,508.82,123.82
487,1,392,554.878,162.878
488,2,385.5,510.346,124.846
489,3,388.5,517.514,129.014
490,1,395.5,544.63,149.13
491,2,395.5,590.887,195.387
492,4,210.5,284.011,73.5115
493,3,383,594.829,211.829
494,4,279.5,357.386,77.886
495,1,162,217.724,55.7241
496,4,357,455.389,98.3889
497,3,326,410.669,84.6688
498,4,395,564.254,169.254
499,2,396,699.97,303.97
