transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type
50680,0,0,0,151,50541,unknown,10,3,attack
50681,0,0,0,151,50541,unknown,10,3,attack
50683,0,0,0,160,50541,unknown,10,3,attack
50684,0,0,0,160,50541,unknown,10,3,attack
50686,0,0,0,156,50541,unknown,10,3,attack
50687,0,0,0,156,50541,unknown,10,3,attack
50689,0,0,0,154,50541,unknown,10,3,attack
50690,0,0,0,154,50541,unknown,10,3,attack
50692,0,0,0,154,50541,unknown,11,3,attack
50693,0,0,0,154,50541,unknown,11,3,attack
50695,0,0,0,152,50541,unknown,11,3,attack
50696,0,0,0,152,50541,unknown,11,3,attack
50698,0,0,0,151,50541,unknown,11,3,attack
50699,0,0,0,151,50541,unknown,11,3,attack
50701,0,0,0,159,50541,unknown,11,3,attack
50702,0,0,0,159,50541,unknown,11,3,attack
50704,0,0,0,155,50541,unknown,11,3,attack
50705,0,0,0,155,50541,unknown,11,3,attack
50707,0,0,0,160,50541,unknown,12,4,attack
50708,0,0,0,160,50541,unknown,12,4,attack
50710,0,0,0,153,50541,unknown,12,4,attack
50711,0,0,0,153,50541,unknown,12,4,attack
50713,0,0,0,151,50541,unknown,12,4,attack
50714,0,0,0,151,50541,unknown,12,4,attack
50716,0,0,0,156,50541,unknown,12,4,attack
50717,0,0,0,156,50541,unknown,12,4,attack
50719,0,0,0,159,50541,unknown,12,4,attack
50720,0,0,0,159,50541,unknown,12,4,attack
50722,0,0,0,151,50541,unknown,13,4,attack
50723,0,0,0,151,50541,unknown,13,4,attack
50725,0,0,0,159,50541,unknown,13,4,attack
50726,0,0,0,159,50541,unknown,13,4,attack
50728,0,0,0,152,50541,unknown,13,4,attack
50729,0,0,0,152,50541,unknown,13,4,attack
50731,0,0,0,157,50541,unknown,13,4,attack
50732,0,0,0,157,50541,unknown,13,4,attack
50734,0,0,0,155,50541,unknown,13,4,attack
50735,0,0,0,155,50541,unknown,13,4,attack
50737,0,0,0,158,50541,unknown,14,4,attack
50738,0,0,0,158,50541,unknown,14,4,attack
50740,0,0,0,157,50541,unknown,14,4,attack
