transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
37012,3500000,0.0,0,102,,unknown,14,14,normal
36982,2500000,5640.0,0,102,,unknown,14,14,normal
36958,1900000,17700000.0,0,106,,unknown,14,14,normal
36994,1900000,66100.0,0,109,,unknown,14,14,normal
36955,1600000,0.0,0,103,,unknown,14,13,normal
37051,5000000,5640.0,0,110,,unknown,15,15,normal
37042,3500000,0.0,0,105,,unknown,15,15,normal
37033,3200000,0.0,0,104,,unknown,15,15,normal
37048,2500000,0.0,0,103,,unknown,15,15,normal
37054,2400000,0.0,0,101,,unknown,15,15,normal
37072,2400000,0.0,0,104,,unknown,15,15,normal
37075,2300000,0.0,0,102,,unknown,15,15,normal
37078,2000000,16400.0,0,103,,unknown,15,15,normal
37024,1600000,0.0,0,103,,unknown,15,14,normal
36024,0,0.0,0,112,36022.0,unknown,15,1,normal
37111,27000000,0.0,0,106,,unknown,16,16,normal
37105,6100000,108000.0,0,104,,unknown,16,16,normal
37153,5000000,0.0,0,106,,unknown,16,16,normal
37165,4200000,0.0,0,102,,unknown,16,16,normal
37144,3500000,510000.0,0,101,,unknown,16,16,normal
37123,2300000,33300.0,0,106,,unknown,16,16,normal
37129,2100000,10700.0,0,101,,unknown,16,16,normal
36026,0,0.0,0,113,36022.0,unknown,16,1,normal
36027,0,0.0,0,113,36022.0,unknown,16,1,normal
36022,1500000,34700.0,0,104,,unknown,16,1,normal
37234,30000000,4320000.0,0,109,,unknown,17,17,attack
43234,0,0.0,0,261,37234.0,unknown,17,17,attack
37189,6300000,0.0,0,109,,unknown,17,17,attack
37216,4200000,0.0,0,109,,unknown,17,17,attack
37210,3200000,0.0,0,104,,unknown,17,17,attack
37228,2000000,0.0,0,110,,unknown,17,17,attack
37207,1900000,8520.0,0,110,,unknown,17,17,attack
43235,0,0.0,0,261,37207.0,unknown,17,17,attack
37225,1900000,12300.0,0,109,,unknown,17,17,attack
43236,0,0.0,0,261,37225.0,unknown,17,17,attack
37303,30000000,0.0,0,107,,unknown,18,18,attack
37249,6300000,0.0,0,101,,unknown,18,18,attack
37306,5200000,36800.0,0,104,,unknown,18,18,attack
43237,0,0.0,0,275,37306.0,unknown,18,18,attack
37282,5000000,0.0,0,110,,unknown,18,18,attack
37315,5000000,0.0,0,109,,unknown,18,18,attack
37294,4500000,256000.0,0,101,,unknown,18,18,attack
43238,0,0.0,0,275,37294.0,unknown,18,18,attack
37270,2000000,12300.0,0,106,,unknown,18,18,attack
43239,0,0.0,0,275,37270.0,unknown,18,18,attack
37342,27000000,0.0,0,106,,unknown,19,19,attack
37378,19000000,0.0,0,105,,unknown,19,19,attack
37381,6100000,959000.0,0,102,,unknown,19,19,attack
43240,0,0.0,0,275,37381.0,unknown,19,19,attack
37339,3500000,0.0,0,101,,unknown,19,19,attack
37354,2400000,0.0,0,104,,unknown,19,19,attack
37348,2000000,0.0,0,102,,unknown,19,19,attack
37243,1800000,56200.0,0,105,,unknown,19,17,attack
43241,0,0.0,0,275,37243.0,unknown,19,17,attack
37384,1800000,33300.0,0,107,,unknown,19,19,attack
43242,0,0.0,0,275,37384.0,unknown,19,19,attack
37441,5000000,0.0,0,101,,unknown,20,20,attack
37393,4500000,100000.0,0,102,,unknown,20,20,attack
43243,0,0.0,0,269,37393.0,unknown,20,20,attack
37450,4200000,0.0,0,103,,unknown,20,20,attack
37405,3600000,285000.0,0,103,,unknown,20,20,attack
43244,0,0.0,0,269,37405.0,unknown,20,20,attack
37390,2300000,73100.0,0,102,,unknown,20,20,attack
43245,0,0.0,0,269,37390.0,unknown,20,20,attack
36073,1500000,0.0,0,107,,unknown,20,1,attack
36163,1500000,161000.0,0,110,,unknown,20,2,attack
43246,0,0.0,0,269,36163.0,unknown,20,2,attack
37525,4500000,0.0,0,102,,unknown,21,21,attack
37495,2600000,0.0,0,108,,unknown,21,21,attack
37492,2500000,128000.0,0,110,,unknown,21,21,attack
43247,0,0.0,0,252,37492.0,unknown,21,21,attack
37531,2500000,0.0,0,104,,unknown,21,21,attack
37519,2000000,0.0,0,105,,unknown,21,21,attack
36166,1500000,0.0,0,110,,unknown,21,3,attack
36205,1500000,369000.0,0,105,,unknown,21,3,attack
43248,0,0.0,0,252,36205.0,unknown,21,3,attack
36259,1500000,0.0,0,109,,unknown,21,4,attack
37577,43000001,0.0,0,113,36079.0,unknown,22,22,normal
37578,0,0.0,0,113,36079.0,unknown,22,22,normal
37580,0,0.0,0,116,36079.0,unknown,22,22,normal
37581,0,0.0,0,116,36079.0,unknown,22,22,normal
37583,0,0.0,0,118,36079.0,unknown,22,22,normal
37584,0,0.0,0,118,36079.0,unknown,22,22,normal
37586,0,0.0,0,119,36079.0,unknown,22,22,normal
37587,0,0.0,0,119,36079.0,unknown,22,22,normal
37589,0,0.0,0,113,36079.0,unknown,22,22,normal
37590,0,0.0,0,113,36079.0,unknown,22,22,normal
37592,0,0.0,0,115,36079.0,unknown,23,22,normal
37593,0,0.0,0,115,36079.0,unknown,23,22,normal
37595,0,0.0,0,113,36079.0,unknown,23,22,normal
37596,0,0.0,0,113,36079.0,unknown,23,22,normal
37598,0,0.0,0,113,36079.0,unknown,23,22,normal
37599,0,0.0,0,113,36079.0,unknown,23,22,normal
37601,0,0.0,0,111,36079.0,unknown,23,22,normal
37602,0,0.0,0,111,36079.0,unknown,23,22,normal
37604,0,0.0,0,117,36079.0,unknown,23,23,normal
37605,0,0.0,0,117,36079.0,unknown,23,23,normal
37607,0,0.0,0,117,36079.0,unknown,24,23,attack
37608,0,0.0,0,117,36079.0,unknown,24,23,attack
37610,0,0.0,0,112,36079.0,unknown,24,23,attack
37611,0,0.0,0,112,36079.0,unknown,24,23,attack
37613,0,0.0,0,111,36079.0,unknown,24,23,attack
37614,0,0.0,0,111,36079.0,unknown,24,23,attack
37616,0,0.0,0,114,36079.0,unknown,24,23,attack
37617,0,0.0,0,114,36079.0,unknown,24,23,attack
37619,0,0.0,0,111,36079.0,unknown,24,23,attack
37620,0,0.0,0,111,36079.0,unknown,24,23,attack
37622,0,0.0,0,120,36079.0,unknown,25,23,normal
37623,0,0.0,0,120,36079.0,unknown,25,23,normal
