block_num,validator_id,total_gas_fee,total_mev_available
436,validator_7,90020004,16400
437,validator_17,24467004,1167900
438,validator_12,39639998,12800
439,validator_0,44779998,67500
440,validator_3,9835997,0
441,validator_10,87549994,128000
442,validator_17,41178996,31700
443,validator_11,129782999,0
444,validator_10,26560006,93200
445,validator_11,49843004,17700000
446,validator_16,34379989,68100
447,validator_2,27268992,33300
448,validator_6,23482997,779000
449,validator_17,70810000,164600
450,validator_7,5852006,17706390
451,validator_10,12729996,33100
452,validator_4,2290992,67900
453,validator_5,52787000,1100000
454,validator_10,35757999,1460600
455,validator_15,30370001,117700
456,validator_1,21629999,35100
457,validator_2,10469002,66100
458,validator_15,19539995,207500
459,validator_16,15430010,13900
460,validator_7,16763999,11200
461,validator_15,32706994,227430
462,validator_17,6669995,117200
463,validator_8,32319988,7195180
464,validator_2,64853988,315000
465,validator_15,36447995,536430
466,validator_12,137082990,3130
467,validator_5,110303014,34700
468,validator_15,4609996,19700
469,validator_7,84149995,160500
470,validator_10,12361002,11200
471,validator_12,14630005,146000
472,validator_10,125313994,141900
473,validator_15,49284002,17983000
474,validator_0,97729993,14200
475,validator_6,5109999,128000
476,validator_3,11330002,162200
477,validator_14,10180000,35100
478,validator_5,12879991,0
479,validator_14,20912999,13800
480,validator_11,85129012,35100
481,validator_15,169530001,0
482,validator_5,24669997,84800
483,validator_17,9639986,30400
484,validator_0,5989989,5640
485,validator_9,20770003,175000
486,validator_16,17107001,320100
487,validator_10,9551999,146000
488,validator_16,2949996,8520
489,validator_12,769410003,410000
490,validator_15,10450004,100000
491,validator_7,67929997,23500
492,validator_2,5720008,0
493,validator_19,86973008,73100
494,validator_2,14812002,164000
495,validator_14,16000005,79800
496,validator_2,69250004,959000
497,validator_19,7689995,11200
498,validator_5,46543997,850000
499,validator_1,6119993,13900
500,validator_5,53809995,54800
501,validator_16,34560011,31700
502,validator_18,11074999,0
503,validator_12,6190001,17000
504,validator_13,8899996,7190000
505,validator_17,53714998,0
506,validator_0,25030014,67900
507,validator_14,12599998,381000
508,validator_9,39720002,473200
509,validator_10,187149002,36800
510,validator_0,73377007,13900
511,validator_11,32560003,60700
512,validator_1,220760008,181000
513,validator_14,496863994,31700
514,validator_11,95431996,67400
515,validator_6,38987014,73100
516,validator_1,10014001,15700
517,validator_1,3501004,17000
518,validator_17,95400002,49100
519,validator_14,95117005,24700
520,validator_9,8189998,30200
521,validator_15,14639987,56200
522,validator_4,1636292994,62130
523,validator_11,58192998,0
524,validator_15,13410000,35600
525,validator_3,1121470007,147400
526,validator_17,36020007,33100
527,validator_15,34469992,17881000
528,validator_9,100499996,45900
529,validator_8,84385005,30200
530,validator_6,71932990,3130
531,validator_17,7579997,10700
532,validator_12,169380009,210600
533,validator_16,27709000,21800
534,validator_9,93810004,0
535,validator_0,18540003,100000
536,validator_19,50250006,288630
537,validator_15,29949996,304800
538,validator_17,7350001,0
539,validator_0,100260001,164000
540,validator_7,11299996,7190000
541,validator_14,8018002,386000
542,validator_10,61200019,959000
543,validator_7,62130000,54090
544,validator_6,54208004,0
545,validator_14,4409996,10700
546,validator_12,17430000,16400
547,validator_4,3310007,0
548,validator_18,20590000,78600
549,validator_7,30460998,245200
550,validator_0,32860008,121000
551,validator_18,73020006,410000
552,validator_13,6630004,13900
553,validator_18,35900001,22720
554,validator_19,92000005,18600
555,validator_11,38140003,67100
556,validator_18,260309985,86900
557,validator_4,25752000,23500
558,validator_0,13849997,56200
559,validator_19,62079995,84800
560,validator_19,94370000,75000
561,validator_2,53970015,0
562,validator_14,15849993,223700
563,validator_11,56341992,100000
564,validator_9,26522995,12300
565,validator_18,94809998,10700
566,validator_5,6090002,7700000
567,validator_18,8508004,3130
568,validator_4,10800012,0
569,validator_15,47758992,126800
570,validator_19,15169995,63500
571,validator_1,6160010,17715100
572,validator_9,40110003,381000
573,validator_10,36169992,283000
574,validator_5,91320003,7205300
575,validator_3,5480003,4320000
576,validator_2,32523002,49100
577,validator_2,9950009,32900
578,validator_6,55070006,67500
579,validator_10,81634998,1163840
580,validator_6,1232109996,381000
