block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
396,builder_17,proposer_3,114961552.96567601,952699991,2176590
397,builder_17,proposer_7,126250735.83189267,1034299991,1778110
398,builder_17,proposer_6,139756349.09214243,1066799991,2878110
399,builder_17,proposer_17,155944939.133756,1143999992,3432010
400,builder_17,proposer_0,25339154.056620453,50492000,1904700
401,builder_17,proposer_9,27664335.868269566,102855003,4106100
402,builder_17,proposer_1,30592717.188786678,204830003,4240890
403,builder_17,proposer_16,33205189.94916699,307289997,3589790
404,builder_17,proposer_12,37034916.21148288,373799993,2811190
405,builder_17,proposer_16,40551957.631189354,398300002,2457190
406,builder_17,proposer_18,44491736.29893469,425499994,2934700
407,builder_17,proposer_11,48024898.406431146,462099993,2753300
408,builder_17,proposer_13,53696219.74448264,489899993,2295800
409,builder_17,proposer_6,58813062.60047294,570000000,2356500
410,builder_17,proposer_5,64172617.48227958,601400002,1397500
411,builder_17,proposer_17,70730159.99073355,670900000,1850890
412,builder_17,proposer_12,79334532.76562497,744399993,1912490
413,builder_17,proposer_19,85837576.31594068,764999991,1997290
414,builder_17,proposer_6,95061561.20682791,868499991,2012590
415,builder_17,proposer_18,103685897.00812183,894899991,2012590
416,builder_17,proposer_3,114961552.96567601,952699991,2176590
417,builder_17,proposer_7,126250735.83189267,1034299991,1778110
418,builder_17,proposer_6,139756349.09214243,1066799991,2878110
419,builder_17,proposer_17,155944939.133756,1143999992,3432010
420,builder_17,proposer_0,25339154.056620453,50492000,1904700
421,builder_17,proposer_9,27664335.868269566,102855003,4106100
422,builder_17,proposer_1,30592717.188786678,204830003,4240890
423,builder_17,proposer_16,33205189.94916699,307289997,3589790
424,builder_17,proposer_12,37034916.21148288,373799993,2811190
425,builder_17,proposer_16,40551957.631189354,398300002,2457190
426,builder_17,proposer_18,44491736.29893469,425499994,2934700
427,builder_17,proposer_11,48024898.406431146,462099993,2753300
428,builder_17,proposer_13,53696219.74448264,489899993,2295800
429,builder_17,proposer_6,58813062.60047294,570000000,2356500
430,builder_17,proposer_5,64172617.48227958,601400002,1397500
431,builder_17,proposer_17,70730159.99073355,670900000,1850890
432,builder_17,proposer_12,79334532.76562497,744399993,1912490
433,builder_17,proposer_19,85837576.31594068,764999991,1997290
434,builder_17,proposer_6,95061561.20682791,868499991,2012590
435,builder_17,proposer_18,103685897.00812183,894899991,2012590
436,builder_17,proposer_3,114961552.96567601,952699991,2176590
437,builder_17,proposer_7,126250735.83189267,1034299991,1778110
438,builder_17,proposer_6,139756349.09214243,1066799991,2878110
439,builder_17,proposer_17,155944939.133756,1143999992,3432010
440,builder_17,proposer_0,25339154.056620453,50492000,1904700
441,builder_17,proposer_9,27664335.868269566,102855003,4106100
442,builder_17,proposer_1,30592717.188786678,204830003,4240890
443,builder_17,proposer_16,33205189.94916699,307289997,3589790
444,builder_17,proposer_12,37034916.21148288,373799993,2811190
445,builder_17,proposer_16,40551957.631189354,398300002,2457190
446,builder_17,proposer_18,44491736.29893469,425499994,2934700
447,builder_17,proposer_11,48024898.406431146,462099993,2753300
448,builder_17,proposer_13,53696219.74448264,489899993,2295800
449,builder_17,proposer_6,58813062.60047294,570000000,2356500
450,builder_17,proposer_5,64172617.48227958,601400002,1397500
451,builder_17,proposer_17,70730159.99073355,670900000,1850890
452,builder_17,proposer_12,79334532.76562497,744399993,1912490
453,builder_17,proposer_19,85837576.31594068,764999991,1997290
454,builder_17,proposer_6,95061561.20682791,868499991,2012590
455,builder_17,proposer_18,103685897.00812183,894899991,2012590
456,builder_17,proposer_3,114961552.96567601,952699991,2176590
457,builder_17,proposer_7,126250735.83189267,1034299991,1778110
458,builder_17,proposer_6,139756349.09214243,1066799991,2878110
459,builder_17,proposer_17,155944939.133756,1143999992,3432010
460,builder_17,proposer_0,25339154.056620453,50492000,1904700
461,builder_17,proposer_9,27664335.868269566,102855003,4106100
462,builder_17,proposer_1,30592717.188786678,204830003,4240890
463,builder_17,proposer_16,33205189.94916699,307289997,3589790
464,builder_17,proposer_12,37034916.21148288,373799993,2811190
465,builder_17,proposer_16,40551957.631189354,398300002,2457190
466,builder_17,proposer_18,44491736.29893469,425499994,2934700
467,builder_17,proposer_11,48024898.406431146,462099993,2753300
468,builder_17,proposer_13,53696219.74448264,489899993,2295800
469,builder_17,proposer_6,58813062.60047294,570000000,2356500
470,builder_17,proposer_5,64172617.48227958,601400002,1397500
471,builder_17,proposer_17,70730159.99073355,670900000,1850890
472,builder_17,proposer_12,79334532.76562497,744399993,1912490
473,builder_17,proposer_19,85837576.31594068,764999991,1997290
474,builder_17,proposer_6,95061561.20682791,868499991,2012590
475,builder_17,proposer_18,103685897.00812183,894899991,2012590
476,builder_17,proposer_3,114961552.96567601,952699991,2176590
477,builder_17,proposer_7,126250735.83189267,1034299991,1778110
478,builder_17,proposer_6,139756349.09214243,1066799991,2878110
479,builder_17,proposer_17,155944939.133756,1143999992,3432010
480,builder_17,proposer_0,25339154.056620453,50492000,1904700
481,builder_17,proposer_9,27664335.868269566,102855003,4106100
482,builder_17,proposer_1,30592717.188786678,204830003,4240890
483,builder_17,proposer_16,33205189.94916699,307289997,3589790
484,builder_17,proposer_12,37034916.21148288,373799993,2811190
485,builder_17,proposer_16,40551957.631189354,398300002,2457190
486,builder_17,proposer_18,44491736.29893469,425499994,2934700
487,builder_17,proposer_11,48024898.406431146,462099993,2753300
488,builder_17,proposer_13,53696219.74448264,489899993,2295800
489,builder_17,proposer_6,58813062.60047294,570000000,2356500
490,builder_17,proposer_5,64172617.48227958,601400002,1397500
491,builder_17,proposer_17,70730159.99073355,670900000,1850890
492,builder_17,proposer_12,79334532.76562497,744399993,1912490
493,builder_17,proposer_19,85837576.31594068,764999991,1997290
494,builder_17,proposer_6,95061561.20682791,868499991,2012590
495,builder_17,proposer_18,103685897.00812183,894899991,2012590
496,builder_17,proposer_3,114961552.96567601,952699991,2176590
497,builder_17,proposer_7,126250735.83189267,1034299991,1778110
498,builder_17,proposer_6,139756349.09214243,1066799991,2878110
499,builder_17,proposer_17,155944939.133756,1143999992,3432010
500,builder_17,proposer_0,25339154.056620453,50492000,1904700
501,builder_17,proposer_9,27664335.868269566,102855003,4106100
502,builder_17,proposer_1,30592717.188786678,204830003,4240890
503,builder_17,proposer_16,33205189.94916699,307289997,3589790
504,builder_17,proposer_12,37034916.21148288,373799993,2811190
505,builder_17,proposer_16,40551957.631189354,398300002,2457190
506,builder_17,proposer_18,44491736.29893469,425499994,2934700
507,builder_17,proposer_11,48024898.406431146,462099993,2753300
508,builder_17,proposer_13,53696219.74448264,489899993,2295800
509,builder_17,proposer_6,58813062.60047294,570000000,2356500
510,builder_17,proposer_5,64172617.48227958,601400002,1397500
511,builder_17,proposer_17,70730159.99073355,670900000,1850890
512,builder_17,proposer_12,79334532.76562497,744399993,1912490
513,builder_17,proposer_19,85837576.31594068,764999991,1997290
514,builder_17,proposer_6,95061561.20682791,868499991,2012590
515,builder_17,proposer_18,103685897.00812183,894899991,2012590
516,builder_17,proposer_3,114961552.96567601,952699991,2176590
517,builder_17,proposer_7,126250735.83189267,1034299991,1778110
518,builder_17,proposer_6,139756349.09214243,1066799991,2878110
519,builder_17,proposer_17,155944939.133756,1143999992,3432010
520,builder_19,proposer_4,59531820.40494488,118208999,1395500
521,builder_19,proposer_0,66051353.317109205,197287000,2215970
522,builder_19,proposer_2,71806903.73743032,236239998,2401530
523,builder_19,proposer_4,77841918.83776079,300479998,2267950
524,builder_19,proposer_7,84742494.35190895,414170002,1955050
525,builder_19,proposer_5,92147836.20763071,654199999,2727410
526,builder_19,proposer_4,101539526.74263264,831799999,2517330
527,builder_19,proposer_16,111487846.08913411,908400002,1988130
528,builder_19,proposer_1,123480715.16126019,1000499999,1971130
529,builder_19,proposer_6,134390782.65307364,1130100009,2017630
530,builder_19,proposer_1,148824071.60258898,1159800008,5494030
531,builder_19,proposer_3,163252669.63816714,1420199999,1171730
532,builder_19,proposer_14,180491896.20734632,1737700000,1171730
533,builder_19,proposer_14,199686830.60953444,1828799999,1187530
534,builder_19,proposer_11,222369212.0042798,1831199999,1315530
535,builder_19,proposer_19,247862053.20881042,1860599999,1315530
536,builder_19,proposer_6,272949355.02623457,1876199999,1187530
537,builder_19,proposer_7,295892977.68824464,1914999999,1187530
538,builder_19,proposer_2,324404872.88792527,1977199999,1187530
539,builder_19,proposer_0,357840105.74593693,1977399999,1187530
540,builder_19,proposer_4,59531820.40494488,118208999,1395500
541,builder_19,proposer_0,66051353.317109205,197287000,2215970
542,builder_19,proposer_2,71806903.73743032,236239998,2401530
543,builder_19,proposer_4,77841918.83776079,300479998,2267950
544,builder_19,proposer_7,84742494.35190895,414170002,1955050
545,builder_19,proposer_5,92147836.20763071,654199999,2727410
546,builder_19,proposer_4,101539526.74263264,831799999,2517330
547,builder_19,proposer_16,111487846.08913411,908400002,1988130
548,builder_19,proposer_1,123480715.16126019,1000499999,1971130
549,builder_19,proposer_6,134390782.65307364,1130100009,2017630
550,builder_19,proposer_1,148824071.60258898,1159800008,5494030
551,builder_19,proposer_3,163252669.63816714,1420199999,1171730
552,builder_19,proposer_14,180491896.20734632,1737700000,1171730
553,builder_19,proposer_14,199686830.60953444,1828799999,1187530
554,builder_19,proposer_11,222369212.0042798,1831199999,1315530
555,builder_19,proposer_19,247862053.20881042,1860599999,1315530
556,builder_19,proposer_6,272949355.02623457,1876199999,1187530
557,builder_19,proposer_7,295892977.68824464,1914999999,1187530
558,builder_19,proposer_2,324404872.88792527,1977199999,1187530
559,builder_19,proposer_0,357840105.74593693,1977399999,1187530
560,builder_19,proposer_4,59531820.40494488,118208999,1395500
561,builder_19,proposer_0,66051353.317109205,197287000,2215970
562,builder_19,proposer_2,71806903.73743032,236239998,2401530
563,builder_19,proposer_4,77841918.83776079,300479998,2267950
564,builder_19,proposer_7,84742494.35190895,414170002,1955050
565,builder_19,proposer_5,92147836.20763071,654199999,2727410
566,builder_19,proposer_4,101539526.74263264,831799999,2517330
567,builder_19,proposer_16,111487846.08913411,908400002,1988130
568,builder_19,proposer_1,123480715.16126019,1000499999,1971130
569,builder_19,proposer_6,134390782.65307364,1130100009,2017630
570,builder_19,proposer_1,148824071.60258898,1159800008,5494030
571,builder_19,proposer_3,163252669.63816714,1420199999,1171730
572,builder_19,proposer_14,180491896.20734632,1737700000,1171730
573,builder_19,proposer_14,199686830.60953444,1828799999,1187530
574,builder_19,proposer_11,222369212.0042798,1831199999,1315530
575,builder_19,proposer_19,247862053.20881042,1860599999,1315530
576,builder_19,proposer_6,272949355.02623457,1876199999,1187530
577,builder_19,proposer_7,295892977.68824464,1914999999,1187530
578,builder_19,proposer_2,324404872.88792527,1977199999,1187530
579,builder_19,proposer_0,357840105.74593693,1977399999,1187530
580,builder_19,proposer_4,59531820.40494488,118208999,1395500
581,builder_19,proposer_0,66051353.317109205,197287000,2215970
582,builder_19,proposer_2,71806903.73743032,236239998,2401530
583,builder_19,proposer_4,77841918.83776079,300479998,2267950
584,builder_19,proposer_7,84742494.35190895,414170002,1955050
585,builder_19,proposer_5,92147836.20763071,654199999,2727410
586,builder_19,proposer_4,101539526.74263264,831799999,2517330
587,builder_19,proposer_16,111487846.08913411,908400002,1988130
588,builder_19,proposer_1,123480715.16126019,1000499999,1971130
589,builder_19,proposer_6,134390782.65307364,1130100009,2017630
590,builder_19,proposer_1,148824071.60258898,1159800008,5494030
591,builder_19,proposer_3,163252669.63816714,1420199999,1171730
592,builder_19,proposer_14,180491896.20734632,1737700000,1171730
593,builder_19,proposer_14,199686830.60953444,1828799999,1187530
