block_num,round_num,builder_id,strategy,bid,block_value
0,2,builder_11,reactive,199894112.0,374290800
0,2,builder_12,reactive,199894112.0,346507800
0,2,builder_13,reactive,199894112.0,311098100
0,2,builder_14,reactive,199894112.0,395121000
0,2,builder_15,reactive,199894112.0,350970000
0,2,builder_16,reactive,199894112.0,243941000
0,2,builder_17,reactive,199894112.0,348542100
0,2,builder_18,reactive,250688010.0,319654100
0,2,builder_19,reactive,199894112.0,385876800
0,3,builder_0,late_enter,167894000.0,335788000
0,3,builder_1,late_enter,205362155.0,410724310
0,3,builder_2,late_enter,177394705.0,354789410
0,3,builder_3,late_enter,200273525.0,400547050
0,3,builder_4,late_enter,155965545.0,311931090
0,3,builder_5,random,163117775.42867625,311083300
0,3,builder_6,random,171328488.29615858,321360310
0,3,builder_7,random,190304149.9889316,322797310
0,3,builder_8,random,165489755.13801074,337770210
0,3,builder_9,random,206444716.29074803,415600730
0,3,builder_10,reactive,275756811.0,324774210
0,3,builder_11,reactive,275756811.0,361551250
0,3,builder_12,reactive,275756811.0,419772730
0,3,builder_13,reactive,275243410,275243410
0,3,builder_14,reactive,275756811.0,367343510
0,3,builder_15,reactive,275756811.0,279300660
0,3,builder_16,reactive,275756811.0,281450690
0,3,builder_17,reactive,275756811.0,341159480
0,3,builder_18,reactive,321141520.0,391595030
0,3,builder_19,reactive,275756811.0,396583610
0,4,builder_0,late_enter,138380910.0,276761820
0,4,builder_1,late_enter,112704510.0,225409020
0,4,builder_2,late_enter,149261350.0,298522700
0,4,builder_3,late_enter,136348000.0,272696000
0,4,builder_4,late_enter,114479710.0,228959420
0,4,builder_5,random,125525880.33075787,284756220
0,4,builder_6,random,164711532.83841944,281474220
0,4,builder_7,random,140255538.78852278,317152720
0,4,builder_8,random,177801607.80611324,304063520
0,4,builder_9,random,185954654.7543773,312941400
0,4,builder_10,reactive,280131120,280131120
0,4,builder_11,reactive,252308300,252308300
0,4,builder_12,reactive,314776420,314776420
0,4,builder_13,reactive,290157820,290157820
0,4,builder_14,reactive,298896520,298896520
0,4,builder_15,reactive,314321520,314321520
0,4,builder_16,reactive,202653820,202653820
0,4,builder_17,reactive,290688620,290688620
0,4,builder_18,reactive,277992470.0,234843420
0,4,builder_19,reactive,264165420,264165420
0,5,builder_0,late_enter,152059060.0,304118120
0,5,builder_1,late_enter,167513100.0,335026200
0,5,builder_2,late_enter,164005110.0,328010220
0,5,builder_3,late_enter,183774910.0,367549820
0,5,builder_4,late_enter,136964410.0,273928820
0,5,builder_5,random,146333766.8455095,328761520
0,5,builder_6,random,151924708.79833996,281936900
0,5,builder_7,random,192667553.51044554,327087600
0,5,builder_8,random,146589402.7500939,340970400
0,5,builder_9,random,192245144.1151317,334242420
0,5,builder_10,reactive,275822600,275822600
0,5,builder_11,reactive,337173220,337173220
0,5,builder_12,reactive,327960720.0,341145020
0,5,builder_13,reactive,208607020,208607020
0,5,builder_14,reactive,346254062.0,369232000
0,5,builder_15,reactive,273455720,273455720
0,5,builder_16,reactive,243263200,243263200
0,5,builder_17,reactive,346254062.0,359560820
0,5,builder_18,reactive,312890300,312890300
0,5,builder_19,reactive,274651220,274651220
0,6,builder_0,late_enter,72314865.0,144629730
0,6,builder_1,late_enter,106262635.0,212525270
0,6,builder_2,late_enter,114311985.0,228623970
0,6,builder_3,late_enter,109297585.0,218595170
0,6,builder_4,late_enter,120158265.0,240316530
0,6,builder_5,random,62396224.22276235,106297640
0,6,builder_6,random,127030520.83670348,240901970
0,6,builder_7,random,99223778.64190467,220609870
0,6,builder_8,random,104683485.53613135,238266930
0,6,builder_9,random,106282217.12197863,241846970
0,6,builder_10,reactive,230875070,230875070
0,6,builder_11,reactive,248729070,248729070
0,6,builder_12,reactive,234632070,234632070
0,6,builder_13,reactive,212951740,212951740
0,6,builder_14,reactive,301501666.0,256749270
0,6,builder_15,reactive,162422830,162422830
0,6,builder_16,reactive,213667940,213667940
0,6,builder_17,reactive,248832951.0,151411840
0,6,builder_18,reactive,233486070,233486070
0,6,builder_19,reactive,224179170,224179170
0,7,builder_0,late_enter,136862700.0,273725400
0,7,builder_1,late_enter,153967500.0,307935000
0,7,builder_2,late_enter,98280100.0,196560200
0,7,builder_3,late_enter,138085850.0,276171700
0,7,builder_4,late_enter,87637500.0,175275000
0,7,builder_5,random,127478808.02049895,259970500
0,7,builder_6,random,141422195.1511374,293913000
0,7,builder_7,random,144653697.7163962,263421600
0,7,builder_8,random,152391382.29303536,301286600
0,7,builder_9,random,112265763.86850107,271079300
0,7,builder_10,reactive,270806700,270806700
0,7,builder_11,reactive,298240900,298240900
0,7,builder_12,reactive,261209400,261209400
0,7,builder_13,reactive,270564000,270564000
0,7,builder_14,reactive,293912583.0,286323500
0,7,builder_15,reactive,189405100,189405100
0,7,builder_16,reactive,119705400,119705400
0,7,builder_17,reactive,282705800,282705800
0,7,builder_18,reactive,263834000,263834000
0,7,builder_19,reactive,299793600,299793600
0,8,builder_0,late_enter,136981685.0,273963370
0,8,builder_1,late_enter,176516835.0,353033670
0,8,builder_2,late_enter,129351135.0,258702270
0,8,builder_3,late_enter,177551935.0,355103870
0,8,builder_4,late_enter,109915585.0,219831170
0,8,builder_5,random,181995641.40782556,314273940
