block_num,builder_id,total_gas_fee,total_mev_available,total_mev_captured_by_attackers,total_mev_captured_by_builders
337,builder_5,148993001,7888800,0,0
338,builder_5,166915000,1652640,0,0
339,builder_4,73439004,731200,0,0
340,builder_5,211131999,1062500,0,0
341,builder_5,25190003,948760,0,0
342,builder_5,30181004,251100,0,0
343,builder_18,97199995,423590,0,0
344,builder_15,60492999,683400,0,0
345,builder_0,70909998,376200,0,0
346,builder_3,130398004,1320040,0,0
347,builder_7,86711998,515900,0,0
348,builder_5,104502998,7908600,0,0
349,builder_15,29489995,7525900,0,0
350,builder_4,111851995,1880320,0,0
351,builder_1,61609000,298700,0,0
352,builder_11,78910993,133100,0,0
353,builder_0,122994001,859300,0,0
354,builder_5,84582002,441800,0,0
355,builder_5,36028998,1225100,0,0
356,builder_11,36789005,2310400,0,0
357,builder_5,22935995,5910200,0,0
358,builder_11,108655992,842730,0,0
359,builder_5,53518001,1554240,0,0
360,builder_15,86345990,99000,0,0
361,builder_10,162574000,1438290,0,0
362,builder_4,72055994,1580300,0,0
363,builder_5,1098350002,164400,0,0
364,builder_16,55202003,5053100,0,0
365,builder_15,53718000,59100,0,0
366,builder_5,238621996,1183800,0,0
367,builder_4,65870000,102200,0,0
368,builder_5,115839993,17734200,0,0
369,builder_0,70203996,7804100,0,0
370,builder_5,27141000,8087600,0,0
371,builder_4,51304004,513130,0,0
372,builder_5,112528994,850900,0,0
373,builder_5,148993001,7888800,0,0
374,builder_5,166915000,1652640,0,0
375,builder_4,73439004,731200,0,0
376,builder_5,211131999,1062500,0,0
377,builder_5,25190003,948760,0,0
378,builder_5,30181004,251100,0,0
379,builder_18,97199995,423590,0,0
380,builder_15,60492999,683400,0,0
381,builder_0,70909998,376200,0,0
382,builder_3,130398004,1320040,0,0
383,builder_7,86711998,515900,0,0
384,builder_5,104502998,7908600,0,0
385,builder_15,29489995,7525900,0,0
386,builder_4,111851995,1880320,0,0
387,builder_1,61609000,298700,0,0
388,builder_11,78910993,133100,0,0
389,builder_0,122994001,859300,0,0
390,builder_5,84582002,441800,0,0
391,builder_5,36028998,1225100,0,0
392,builder_11,36789005,2310400,0,0
393,builder_5,22935995,5910200,0,0
394,builder_11,108655992,842730,0,0
395,builder_5,53518001,1554240,0,0
396,builder_15,86345990,99000,0,0
397,builder_10,162574000,1438290,0,0
398,builder_4,72055994,1580300,0,0
399,builder_5,1098350002,164400,0,0
400,builder_16,55202003,5053100,0,0
401,builder_15,53718000,59100,0,0
402,builder_5,238621996,1183800,0,0
403,builder_4,65870000,102200,0,0
404,builder_5,115839993,17734200,0,0
405,builder_0,70203996,7804100,0,0
406,builder_5,27141000,8087600,0,0
407,builder_4,51304004,513130,0,0
408,builder_5,112528994,850900,0,0
409,builder_5,148993001,7888800,0,0
