participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,total_profit
proposer_10,proposer,False,0.10876794300692294,200000000,200000000,148113570
proposer_11,proposer,False,0.7304329446461862,500000000,800000000,436554717
proposer_12,proposer,False,0.15534563390962186,100000000,100000000,78709477
proposer_13,proposer,False,0.720741711170634,100000000,100000000,77082443
proposer_14,proposer,False,0.20356396263258514,500000000,500000000,312979830
proposer_15,proposer,False,0.934570745303044,200000000,300000000,173869862
proposer_16,proposer,False,0.5741279583468282,100000000,100000000,82371514
proposer_17,proposer,False,0.7727224916603589,200000000,300000000,174052765
proposer_18,proposer,False,0.11518802256968397,500000000,500000000,330801111
proposer_19,proposer,False,0.2590321684092338,1000000000,1100000000,563561610
proposer_20,proposer,False,0.35364334838821465,200000000,200000000,121543762
proposer_21,proposer,False,0.01695339637832005,1000000000,1000000000,505882292
proposer_22,proposer,False,0.21259168499355607,100000000,100000000,117735689
proposer_23,proposer,False,0.5935439781224874,100000000,100000000,65960944
proposer_24,proposer,False,0.04351525393561417,500000000,500000000,265767932
proposer_25,proposer,False,0.021259208408904717,500000000,500000000,335589201
proposer_26,proposer,False,0.9623473906660303,200000000,300000000,177396586
proposer_27,proposer,False,0.3761317435097632,100000000,100000000,99814792
proposer_28,proposer,False,0.6516458238014431,1000000000,1400000000,640151161
proposer_29,proposer,False,0.1676588336845516,100000000,100000000,92536862
proposer_30,proposer,False,0.6659540502904321,200000000,200000000,142444424
proposer_31,proposer,False,0.9590824234655697,1000000000,1500000000,539135249
proposer_32,proposer,False,0.8991859691050335,100000000,200000000,115652221
proposer_33,proposer,False,0.9690645495449014,100000000,100000000,64473937
proposer_34,proposer,False,0.5866108203991609,100000000,100000000,124299465
proposer_35,proposer,False,0.5971757950577663,200000000,200000000,142766757
proposer_36,proposer,False,0.5346468767697283,1000000000,1200000000,487618345
proposer_37,proposer,False,0.6168956387236063,200000000,200000000,94414740
proposer_38,proposer,False,0.6527528387136738,500000000,700000000,454619938
proposer_39,proposer,False,0.07458452807926563,500000000,500000000,334684119
proposer_40,proposer,False,0.3773412578326998,500000000,600000000,357546312
proposer_41,proposer,False,0.021797426970205036,1000000000,1000000000,505784131
proposer_42,proposer,False,0.27300506795054,1000000000,1100000000,538485867
proposer_43,proposer,False,0.8351793198549841,500000000,800000000,382487433
proposer_44,proposer,False,0.4744751207524057,100000000,100000000,119043438
proposer_45,proposer,False,0.8728828361810999,200000000,300000000,133830925
proposer_46,proposer,False,0.9572891637153368,200000000,300000000,133235605
proposer_47,proposer,False,0.40878683009470396,500000000,600000000,285685393
proposer_48,proposer,False,0.9689810938276936,500000000,800000000,331100240
proposer_49,proposer,False,0.31734525392304935,100000000,100000000,104795611
