block_num,builder_id,proposer_id,builder_stake,proposer_stake,total_gas_fee,total_mev_available,bid_value,builder_reinvestment_factor,proposer_reinvestment_factor
122,builder_1,proposer_19,32000000000.0,320000000000.0,43499999,0,43499999.0,False,False
123,builder_16,proposer_8,32000000000.0,160000000000.0,9400001,19700,9419898.0,True,False
124,builder_9,proposer_11,64000000000.0,64000000000.0,31789999,12300,31802545.0,False,True
125,builder_16,proposer_19,32000000000.0,320000000000.0,43470000,0,43470000.0,True,False
126,builder_15,proposer_16,32000000000.0,32000000000.0,19170001,0,19170001.0,True,False
127,builder_2,proposer_3,256000000000.0,160000000000.0,31420000,0,31420000.0,True,True
128,builder_3,proposer_19,32000000000.0,320000000000.0,7784998,0,7784998.0,True,False
129,builder_15,proposer_10,32000000000.0,160000000000.0,30219999,0,30219999.0,True,False
130,builder_19,proposer_8,64000000000.0,160000000000.0,31375000,88800,31465576.0,True,False
131,builder_5,proposer_2,256000000000.0,160000000000.0,35119999,0,35119999.0,False,True
132,builder_0,proposer_3,64000000000.0,160000000000.0,43239998,0,43239998.0,False,True
133,builder_5,proposer_18,256000000000.0,32000000000.0,21300001,0,21300001.0,False,False
134,builder_17,proposer_5,64000000000.0,32000000000.0,30419999,0,30419999.0,True,False
135,builder_18,proposer_2,64000000000.0,160000000000.0,32000001,0,32000001.0,True,True
136,builder_17,proposer_2,64000000000.0,160000000000.0,6299999,0,6299999.0,True,True
137,builder_6,proposer_15,32000000000.0,320000000000.0,61820000,11200,61831312.0,True,False
138,builder_1,proposer_6,32000000000.0,160000000000.0,44120000,0,44120000.0,False,True
139,builder_7,proposer_13,256000000000.0,32000000000.0,35999999,18600,36020087.0,False,True
140,builder_3,proposer_9,32000000000.0,160000000000.0,4559999,151300,4712812.0,True,False
141,builder_4,proposer_9,32000000000.0,160000000000.0,3719999,0,3719999.0,True,False
142,builder_8,proposer_3,96000000000.0,160000000000.0,31970000,0,31970000.0,False,True
143,builder_1,proposer_2,32000000000.0,160000000000.0,6419999,0,6419999.0,False,True
144,builder_17,proposer_11,64000000000.0,64000000000.0,43119999,0,43119999.0,True,True
145,builder_17,proposer_9,64000000000.0,160000000000.0,43170000,0,43170000.0,True,False
146,builder_10,proposer_8,32000000000.0,160000000000.0,6490001,73100,6563832.0,True,False
147,builder_11,proposer_6,256000000000.0,160000000000.0,7169999,56200,7230695.0,True,True
148,builder_4,proposer_8,32000000000.0,160000000000.0,11120003,285000,11407853.0,True,False
149,builder_11,proposer_5,256000000000.0,32000000000.0,43499999,0,43499999.0,True,False
150,builder_9,proposer_14,64000000000.0,64000000000.0,55620002,73100,55694564.0,False,True
151,builder_18,proposer_4,64000000000.0,64000000000.0,27119999,0,27119999.0,True,False
152,builder_1,proposer_5,32000000000.0,32000000000.0,27839999,0,27839999.0,False,False
153,builder_5,proposer_19,256000000000.0,320000000000.0,60120000,68100,60193548.0,False,False
154,builder_1,proposer_15,32000000000.0,320000000000.0,7820001,0,7820001.0,False,False
155,builder_16,proposer_7,32000000000.0,32000000000.0,1430000,35400000,37184000.0,True,False
156,builder_17,proposer_14,64000000000.0,64000000000.0,5120001,0,5120001.0,True,True
157,builder_6,proposer_4,32000000000.0,64000000000.0,1190000,7190000,8451900.0,True,False
158,builder_9,proposer_4,64000000000.0,64000000000.0,4919998,7190000,12253798.0,False,False
159,builder_13,proposer_12,32000000000.0,32000000000.0,27203001,195000,27399951.0,True,True
160,builder_1,proposer_17,32000000000.0,32000000000.0,5099999,0,5099999.0,False,True
161,builder_2,proposer_5,256000000000.0,32000000000.0,54273999,55100,54333507.0,True,False
162,builder_7,proposer_11,256000000000.0,64000000000.0,28339999,0,28339999.0,False,True
163,builder_2,proposer_2,256000000000.0,160000000000.0,44219998,0,44219998.0,True,True
164,builder_15,proposer_10,32000000000.0,160000000000.0,6200000,0,6200000.0,True,False
165,builder_14,proposer_10,96000000000.0,160000000000.0,43120001,0,43120001.0,False,False
166,builder_5,proposer_4,256000000000.0,64000000000.0,56120000,47700,56171516.0,False,False
167,builder_9,proposer_3,64000000000.0,160000000000.0,46320002,67900,46389260.0,False,True
168,builder_4,proposer_1,32000000000.0,64000000000.0,54770002,231000,55003312.0,True,True
169,builder_12,proposer_2,256000000000.0,160000000000.0,31189999,0,31189999.0,True,True
170,builder_2,proposer_12,256000000000.0,32000000000.0,4839999,7190000,12605199.0,True,True
171,builder_3,proposer_8,32000000000.0,160000000000.0,31490000,0,31490000.0,True,False
172,builder_1,proposer_15,32000000000.0,320000000000.0,30407998,0,30407998.0,False,False
173,builder_10,proposer_11,32000000000.0,64000000000.0,27084999,0,27084999.0,True,True
174,builder_18,proposer_2,64000000000.0,160000000000.0,32600000,0,32600000.0,True,True
175,builder_2,proposer_5,256000000000.0,32000000000.0,48300000,0,48300000.0,True,False
176,builder_5,proposer_6,256000000000.0,160000000000.0,60119998,34700,60157474.0,False,True
177,builder_12,proposer_11,256000000000.0,64000000000.0,27120001,0,27120001.0,True,True
178,builder_5,proposer_0,256000000000.0,160000000000.0,10620000,73100,10698948.0,False,True
179,builder_7,proposer_7,256000000000.0,32000000000.0,38120002,1100000,39308002.0,False,False
180,builder_6,proposer_17,32000000000.0,32000000000.0,43082000,0,43082000.0,True,True
181,builder_19,proposer_16,64000000000.0,32000000000.0,30119999,0,30119999.0,True,False
182,builder_17,proposer_17,64000000000.0,32000000000.0,47700000,0,47700000.0,True,True
183,builder_12,proposer_15,256000000000.0,320000000000.0,32120001,0,32120001.0,True,False
184,builder_10,proposer_7,32000000000.0,32000000000.0,43380001,0,43380001.0,True,False
185,builder_18,proposer_18,64000000000.0,32000000000.0,1450001,17700000,19504001.0,True,False
186,builder_10,proposer_2,32000000000.0,160000000000.0,43430001,0,43430001.0,True,True
187,builder_4,proposer_11,32000000000.0,64000000000.0,6605003,17700000,24482003.0,True,True
188,builder_9,proposer_15,64000000000.0,320000000000.0,3319999,0,3319999.0,False,False
189,builder_5,proposer_2,256000000000.0,160000000000.0,32320001,0,32320001.0,False,True
190,builder_0,proposer_12,64000000000.0,32000000000.0,60272002,6390,60278519.8,False,True
191,builder_3,proposer_4,32000000000.0,64000000000.0,45485000,17000,45502170.0,True,False
192,builder_14,proposer_0,96000000000.0,160000000000.0,4619999,0,4619999.0,False,True
193,builder_8,proposer_14,96000000000.0,64000000000.0,27960000,121000,28084630.0,False,True
194,builder_11,proposer_15,256000000000.0,320000000000.0,8560000,0,8560000.0,True,False
195,builder_19,proposer_2,64000000000.0,160000000000.0,31585001,0,31585001.0,True,True
196,builder_0,proposer_10,64000000000.0,160000000000.0,6320000,0,6320000.0,False,False
197,builder_5,proposer_7,256000000000.0,32000000000.0,86293999,248900,86562811.0,False,False
198,builder_12,proposer_8,256000000000.0,160000000000.0,43120001,0,43120001.0,True,False
199,builder_0,proposer_11,64000000000.0,64000000000.0,55579997,43600,55624469.0,False,True
200,builder_8,proposer_3,96000000000.0,160000000000.0,37200000,0,37200000.0,False,True
201,builder_11,proposer_10,256000000000.0,160000000000.0,43357999,197700,43571515.0,True,False
202,builder_10,proposer_10,32000000000.0,160000000000.0,12600001,0,12600001.0,True,False
203,builder_15,proposer_16,32000000000.0,32000000000.0,27150001,155000,27306551.0,True,False
204,builder_17,proposer_3,64000000000.0,160000000000.0,43189999,410000,43608199.0,True,True
205,builder_15,proposer_1,32000000000.0,64000000000.0,19460000,0,19460000.0,True,True
206,builder_12,proposer_13,256000000000.0,32000000000.0,45599999,0,45599999.0,True,True
207,builder_15,proposer_6,32000000000.0,160000000000.0,47070000,0,47070000.0,True,True
208,builder_9,proposer_18,64000000000.0,32000000000.0,7800001,0,7800001.0,False,False
209,builder_8,proposer_9,96000000000.0,160000000000.0,27450002,181000,27636432.0,False,False
210,builder_13,proposer_13,32000000000.0,32000000000.0,44419999,0,44419999.0,True,True
211,builder_7,proposer_9,256000000000.0,160000000000.0,43222999,0,43222999.0,False,False
212,builder_1,proposer_15,32000000000.0,320000000000.0,47169999,32900,47203228.0,False,False
213,builder_1,proposer_17,32000000000.0,32000000000.0,27300002,0,27300002.0,False,True
214,builder_5,proposer_5,256000000000.0,32000000000.0,7999999,5640,8006090.2,False,False
215,builder_15,proposer_11,32000000000.0,64000000000.0,44370000,66100,44436761.0,True,True
216,builder_17,proposer_14,64000000000.0,64000000000.0,27169999,0,27169999.0,True,True
217,builder_14,proposer_1,96000000000.0,64000000000.0,43159999,0,43159999.0,False,True
218,builder_14,proposer_18,96000000000.0,32000000000.0,5659999,0,5659999.0,False,False
219,builder_5,proposer_18,256000000000.0,32000000000.0,15350001,779000,16191321.0,False,False
220,builder_17,proposer_15,64000000000.0,320000000000.0,6729999,13900,6744177.0,True,False
221,builder_5,proposer_4,256000000000.0,64000000000.0,41739998,72500,41818298.0,False,False
222,builder_5,proposer_16,256000000000.0,32000000000.0,43309999,0,43309999.0,False,False
223,builder_16,proposer_5,32000000000.0,32000000000.0,19149999,0,19149999.0,True,False
224,builder_3,proposer_13,32000000000.0,32000000000.0,19149999,0,19149999.0,True,True
225,builder_7,proposer_10,256000000000.0,160000000000.0,43149999,0,43149999.0,False,False
226,builder_14,proposer_7,96000000000.0,32000000000.0,44080000,0,44080000.0,False,False
227,builder_8,proposer_9,96000000000.0,160000000000.0,27149999,0,27149999.0,False,False
228,builder_13,proposer_13,32000000000.0,32000000000.0,31290001,0,31290001.0,True,True
229,builder_8,proposer_14,96000000000.0,64000000000.0,22620002,43600,22664910.0,False,True
230,builder_0,proposer_19,64000000000.0,320000000000.0,86480000,231000,86715620.0,False,False
231,builder_0,proposer_6,64000000000.0,160000000000.0,32190001,410000,32608201.0,False,True
232,builder_5,proposer_8,256000000000.0,160000000000.0,30287999,283000,30593639.0,False,False
233,builder_8,proposer_8,96000000000.0,160000000000.0,48120001,0,48120001.0,False,False
234,builder_8,proposer_18,96000000000.0,32000000000.0,61477001,545000,62038351.0,False,False
235,builder_19,proposer_4,64000000000.0,64000000000.0,44520001,0,44520001.0,True,False
236,builder_17,proposer_4,64000000000.0,64000000000.0,30909999,0,30909999.0,True,False
237,builder_12,proposer_15,256000000000.0,320000000000.0,6379000,0,6379000.0,True,False
238,builder_7,proposer_17,256000000000.0,32000000000.0,62719999,545000,63308599.0,False,True
239,builder_11,proposer_2,256000000000.0,160000000000.0,34310000,0,34310000.0,True,True
240,builder_9,proposer_17,64000000000.0,32000000000.0,30560000,0,30560000.0,False,True
241,builder_14,proposer_13,96000000000.0,32000000000.0,27120001,0,27120001.0,False,True
242,builder_15,proposer_8,32000000000.0,160000000000.0,27070000,0,27070000.0,True,False
243,builder_19,proposer_10,64000000000.0,160000000000.0,8400000,0,8400000.0,True,False
244,builder_1,proposer_6,32000000000.0,160000000000.0,28173001,0,28173001.0,False,True
245,builder_7,proposer_16,256000000000.0,32000000000.0,86279998,181000,86475478.0,False,False
246,builder_14,proposer_8,96000000000.0,160000000000.0,46219999,31700,46252650.0,False,False
247,builder_1,proposer_15,32000000000.0,320000000000.0,54204000,67500,54272175.0,False,False
248,builder_14,proposer_8,96000000000.0,160000000000.0,19770001,0,19770001.0,False,False
249,builder_6,proposer_6,32000000000.0,160000000000.0,5240000,0,5240000.0,True,True
250,builder_16,proposer_9,32000000000.0,160000000000.0,8400000,0,8400000.0,True,False
251,builder_7,proposer_5,256000000000.0,32000000000.0,10076999,36800,10116743.0,False,False
252,builder_16,proposer_16,32000000000.0,32000000000.0,44099999,0,44099999.0,True,False
253,builder_18,proposer_9,64000000000.0,160000000000.0,43540001,34700,43575395.0,True,False
254,builder_11,proposer_18,256000000000.0,32000000000.0,7820001,0,7820001.0,True,False
255,builder_10,proposer_15,32000000000.0,320000000000.0,6400000,0,6400000.0,True,False
256,builder_7,proposer_9,256000000000.0,160000000000.0,43119999,0,43119999.0,False,False
257,builder_0,proposer_14,64000000000.0,64000000000.0,4379999,0,4379999.0,False,True
258,builder_7,proposer_19,256000000000.0,320000000000.0,19670000,369000,20068520.0,False,False
259,builder_9,proposer_5,64000000000.0,32000000000.0,27289999,0,27289999.0,False,False
260,builder_6,proposer_8,32000000000.0,160000000000.0,43207001,0,43207001.0,True,False
261,builder_7,proposer_12,256000000000.0,32000000000.0,11249999,256000,11526479.0,False,True
262,builder_9,proposer_12,64000000000.0,32000000000.0,4330001,7190000,11663801.0,False,True
263,builder_6,proposer_14,32000000000.0,64000000000.0,30580001,0,30580001.0,True,True
264,builder_17,proposer_6,64000000000.0,160000000000.0,28000000,0,28000000.0,True,True
265,builder_18,proposer_8,64000000000.0,160000000000.0,6320000,0,6320000.0,True,False
266,builder_4,proposer_0,32000000000.0,160000000000.0,7440001,17000,7457171.0,True,True
267,builder_1,proposer_8,32000000000.0,160000000000.0,30439998,0,30439998.0,False,False
268,builder_0,proposer_2,64000000000.0,160000000000.0,30120001,0,30120001.0,False,True
269,builder_14,proposer_6,96000000000.0,160000000000.0,19220001,0,19220001.0,False,True
270,builder_8,proposer_11,96000000000.0,64000000000.0,4599999,0,4599999.0,False,True
271,builder_8,proposer_10,96000000000.0,160000000000.0,12799002,161000,12964832.0,False,False
272,builder_11,proposer_6,256000000000.0,160000000000.0,5404999,283000,5710639.0,True,True
273,builder_11,proposer_16,256000000000.0,32000000000.0,43539999,3130,43543379.4,True,False
274,builder_10,proposer_4,32000000000.0,64000000000.0,32620001,0,32620001.0,True,False
275,builder_5,proposer_3,256000000000.0,160000000000.0,30350000,0,30350000.0,False,True
276,builder_9,proposer_9,64000000000.0,160000000000.0,12360003,3130,12363195.6,False,False
277,builder_13,proposer_15,32000000000.0,320000000000.0,43419999,0,43419999.0,True,False
278,builder_18,proposer_3,64000000000.0,160000000000.0,43160000,283000,43448660.0,True,True
279,builder_11,proposer_8,256000000000.0,160000000000.0,27120001,0,27120001.0,True,False
280,builder_7,proposer_14,256000000000.0,64000000000.0,6930000,0,6930000.0,False,True
281,builder_4,proposer_19,32000000000.0,320000000000.0,43119999,0,43119999.0,True,False
282,builder_13,proposer_1,32000000000.0,64000000000.0,28160001,43600,28204037.0,True,True
283,builder_0,proposer_19,64000000000.0,320000000000.0,11519999,108000,11630159.0,False,False
284,builder_5,proposer_4,256000000000.0,64000000000.0,38249998,42000,38295358.0,False,False
285,builder_11,proposer_8,256000000000.0,160000000000.0,20220000,0,20220000.0,True,False
286,builder_9,proposer_14,64000000000.0,64000000000.0,60509999,172600,60686051.0,False,True
287,builder_16,proposer_0,32000000000.0,160000000000.0,44100001,121000,44222211.0,True,True
288,builder_14,proposer_3,96000000000.0,160000000000.0,43518000,0,43518000.0,False,True
289,builder_8,proposer_19,96000000000.0,320000000000.0,5649999,0,5649999.0,False,False
290,builder_5,proposer_6,256000000000.0,160000000000.0,13990000,959000,15025720.0,False,True
291,builder_2,proposer_15,256000000000.0,320000000000.0,28419998,0,28419998.0,True,False
292,builder_6,proposer_1,32000000000.0,64000000000.0,30119999,0,30119999.0,True,True
293,builder_6,proposer_8,32000000000.0,160000000000.0,43340000,0,43340000.0,True,False
294,builder_6,proposer_10,32000000000.0,160000000000.0,21290001,0,21290001.0,True,False
295,builder_12,proposer_10,256000000000.0,160000000000.0,43150000,0,43150000.0,True,False
