transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
211,0.0,0,0,11,24,attack,13,3
212,0.0,0,0,11,24,attack,13,3
214,0.0,0,0,15,24,attack,13,3
215,0.0,0,0,15,24,attack,13,3
217,0.0,0,0,19,24,attack,13,4
218,0.0,0,0,19,24,attack,13,4
220,0.0,0,0,19,24,attack,14,4
221,0.0,0,0,19,24,attack,14,4
223,0.0,0,0,17,24,attack,14,4
224,0.0,0,0,17,24,attack,14,4
226,0.0,0,0,11,24,attack,14,4
227,0.0,0,0,11,24,attack,14,4
229,0.0,0,0,16,24,attack,14,4
230,0.0,0,0,16,24,attack,14,4
232,0.0,0,0,14,24,attack,14,4
233,0.0,0,0,14,24,attack,14,4
235,0.0,0,0,13,24,attack,15,4
236,0.0,0,0,13,24,attack,15,4
238,0.0,0,0,15,24,attack,15,4
239,0.0,0,0,15,24,attack,15,4
241,0.0,0,0,18,24,attack,15,4
242,0.0,0,0,18,24,attack,15,4
244,0.0,0,0,15,24,attack,15,4
245,0.0,0,0,15,24,attack,15,4
247,0.0,0,0,17,24,attack,15,4
248,0.0,0,0,17,24,attack,15,4
250,0.0,0,0,15,24,attack,16,4
251,0.0,0,0,15,24,attack,16,4
253,0.0,0,0,11,24,attack,16,4
254,0.0,0,0,11,24,attack,16,4
256,0.0,0,0,20,24,attack,16,4
257,0.0,0,0,20,24,attack,16,4
259,0.0,0,0,16,24,attack,16,4
260,0.0,0,0,16,24,attack,16,4
262,0.0,0,0,17,24,attack,16,4
263,0.0,0,0,17,24,attack,16,4
265,0.0,0,0,17,24,attack,17,4
266,0.0,0,0,17,24,attack,17,4
268,0.0,0,0,12,24,attack,17,4
269,0.0,0,0,12,24,attack,17,4
271,0.0,0,0,15,24,attack,17,4
272,0.0,0,0,15,24,attack,17,4
274,0.0,0,0,16,24,attack,17,4
275,0.0,0,0,16,24,attack,17,4
277,0.0,0,0,14,24,attack,17,4
278,0.0,0,0,14,24,attack,17,4
280,0.0,0,0,20,24,attack,18,4
281,0.0,0,0,20,24,attack,18,4
283,0.0,0,0,19,24,attack,18,4
284,0.0,0,0,19,24,attack,18,4
286,0.0,0,0,14,24,attack,18,4
287,0.0,0,0,14,24,attack,18,4
289,0.0,0,0,18,24,attack,18,5
290,0.0,0,0,18,24,attack,18,5
292,0.0,0,0,12,24,attack,18,5
293,0.0,0,0,12,24,attack,18,5
295,0.0,0,0,14,24,attack,19,5
296,0.0,0,0,14,24,attack,19,5
298,0.0,0,0,11,24,attack,19,5
299,0.0,0,0,11,24,attack,19,5
301,0.0,0,0,18,24,attack,19,5
302,0.0,0,0,18,24,attack,19,5
304,0.0,0,0,17,24,attack,19,5
305,0.0,0,0,17,24,attack,19,5
307,0.0,0,0,17,24,attack,19,5
308,0.0,0,0,17,24,attack,19,5
310,0.0,0,0,19,24,attack,20,5
311,0.0,0,0,19,24,attack,20,5
313,0.0,0,0,18,24,attack,20,5
314,0.0,0,0,18,24,attack,20,5
316,0.0,0,0,20,24,attack,20,5
317,0.0,0,0,20,24,attack,20,5
319,0.0,0,0,13,24,attack,20,5
320,0.0,0,0,13,24,attack,20,5
322,0.0,0,0,14,24,attack,20,5
323,0.0,0,0,14,24,attack,20,5
325,0.0,0,0,15,24,attack,21,5
326,0.0,0,0,15,24,attack,21,5
328,0.0,0,0,15,24,attack,21,5
329,0.0,0,0,15,24,attack,21,5
331,0.0,0,0,13,24,attack,21,5
332,0.0,0,0,13,24,attack,21,5
334,0.0,0,0,14,24,attack,21,5
335,0.0,0,0,14,24,attack,21,5
337,0.0,0,0,16,24,attack,21,5
