period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
LUNA_CRASH_MAY_2022,14800822,162,1361,0.10436316233417682,13041
LUNA_CRASH_MAY_2022,14800823,50,0,0.0,1225
LUNA_CRASH_MAY_2022,14800824,32,0,0.0,496
LUNA_CRASH_MAY_2022,14800825,154,597,0.050674815380697735,11781
LUNA_CRASH_MAY_2022,14800826,387,5729,0.07670268171533384,74691
LUNA_CRASH_MAY_2022,14800827,252,2965,0.09375197622209575,31626
LUNA_CRASH_MAY_2022,14800828,326,8,0.0001510146295422369,52975
LUNA_CRASH_MAY_2022,14800829,219,2290,0.09593230279418541,23871
LUNA_CRASH_MAY_2022,14800830,58,150,0.09074410163339383,1653
LUNA_CRASH_MAY_2022,14800831,26,4,0.012307692307692308,325
LUNA_CRASH_MAY_2022,14800832,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800833,343,4435,0.07561420558198216,58653
LUNA_CRASH_MAY_2022,14800834,228,1842,0.07118015302573615,25878
LUNA_CRASH_MAY_2022,14800835,323,3143,0.06043882083725939,52003
LUNA_CRASH_MAY_2022,14800836,193,0,0.0,18528
LUNA_CRASH_MAY_2022,14800837,283,1487,0.03726536851865774,39903
LUNA_CRASH_MAY_2022,14800838,41,61,0.07439024390243902,820
LUNA_CRASH_MAY_2022,14800839,37,38,0.057057057057057055,666
LUNA_CRASH_MAY_2022,14800840,199,1576,0.0799959392924217,19701
LUNA_CRASH_MAY_2022,14800841,67,153,0.06919945725915876,2211
LUNA_CRASH_MAY_2022,14800842,65,12,0.0057692307692307696,2080
LUNA_CRASH_MAY_2022,14800843,193,388,0.020941278065630398,18528
LUNA_CRASH_MAY_2022,14800844,0,0,0.0,0
LUNA_CRASH_MAY_2022,14800845,113,4,0.0006321112515802782,6328
LUNA_CRASH_MAY_2022,14800846,391,27874,0.36558462850022955,76245
LUNA_CRASH_MAY_2022,14800847,310,908,0.018958137592650588,47895
LUNA_CRASH_MAY_2022,14800848,209,18,0.0008281192491718807,21736
LUNA_CRASH_MAY_2022,14800849,52,107,0.08069381598793364,1326
LUNA_CRASH_MAY_2022,14800850,61,0,0.0,1830
LUNA_CRASH_MAY_2022,14800851,25,3,0.01,300
LUNA_CRASH_MAY_2022,14800852,179,520,0.032640763291695435,15931
LUNA_CRASH_MAY_2022,14800853,354,1942,0.03108144876042317,62481
LUNA_CRASH_MAY_2022,14800854,236,287,0.010349801658853228,27730
LUNA_CRASH_MAY_2022,14800855,63,0,0.0,1953
LUNA_CRASH_MAY_2022,14800856,353,1054,0.016964975534380634,62128
LUNA_CRASH_MAY_2022,14800857,83,245,0.07199529826623567,3403
LUNA_CRASH_MAY_2022,14800858,87,333,0.08901363271852446,3741
LUNA_CRASH_MAY_2022,14800859,294,2726,0.06329084534837826,43071
LUNA_CRASH_MAY_2022,14800860,60,59,0.03333333333333333,1770
