period,gas_fee_gwei
STABLE_PRE_MERGE_2022,4500000.0
STABLE_PRE_MERGE_2022,4341181.0
STABLE_PRE_MERGE_2022,4027478.0
STABLE_PRE_MERGE_2022,3971745.0
STABLE_PRE_MERGE_2022,3636182.0
STABLE_PRE_MERGE_2022,3472185.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,2544168.0
STABLE_PRE_MERGE_2022,2425032.0
STABLE_PRE_MERGE_2022,2006238.0
STABLE_PRE_MERGE_2022,1965135.0
STABLE_PRE_MERGE_2022,1906780.0
STABLE_PRE_MERGE_2022,1906780.0
STABLE_PRE_MERGE_2022,1848459.0
STABLE_PRE_MERGE_2022,1709032.0
STABLE_PRE_MERGE_2022,1653326.0
STABLE_PRE_MERGE_2022,1515647.0
STABLE_PRE_MERGE_2022,1273754.0
STABLE_PRE_MERGE_2022,948256.0
STABLE_PRE_MERGE_2022,939715.0
STABLE_PRE_MERGE_2022,888487.0
STABLE_PRE_MERGE_2022,858585.0
STABLE_PRE_MERGE_2022,842156.0
STABLE_PRE_MERGE_2022,818353.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,761773.0
STABLE_PRE_MERGE_2022,753382.0
STABLE_PRE_MERGE_2022,724378.0
STABLE_PRE_MERGE_2022,587580.0
STABLE_PRE_MERGE_2022,503718.0
STABLE_PRE_MERGE_2022,459884.0
STABLE_PRE_MERGE_2022,425632.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,394369.0
STABLE_PRE_MERGE_2022,377195.0
STABLE_PRE_MERGE_2022,21563152.0
STABLE_PRE_MERGE_2022,18655595.0
STABLE_PRE_MERGE_2022,18545487.0
STABLE_PRE_MERGE_2022,7276231.0
STABLE_PRE_MERGE_2022,5886989.0
STABLE_PRE_MERGE_2022,5798282.0
STABLE_PRE_MERGE_2022,5455045.0
STABLE_PRE_MERGE_2022,5437071.0
STABLE_PRE_MERGE_2022,5431291.0
STABLE_PRE_MERGE_2022,4789099.0
STABLE_PRE_MERGE_2022,4674716.0
STABLE_PRE_MERGE_2022,4614860.0
STABLE_PRE_MERGE_2022,4517175.0
STABLE_PRE_MERGE_2022,4493531.0
STABLE_PRE_MERGE_2022,4480865.0
STABLE_PRE_MERGE_2022,4382349.0
STABLE_PRE_MERGE_2022,4321474.0
STABLE_PRE_MERGE_2022,4133316.0
STABLE_PRE_MERGE_2022,3603901.0
STABLE_PRE_MERGE_2022,3603901.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,3443424.0
STABLE_PRE_MERGE_2022,3429102.0
STABLE_PRE_MERGE_2022,3140221.0
STABLE_PRE_MERGE_2022,2685296.0
STABLE_PRE_MERGE_2022,2216013.0
STABLE_PRE_MERGE_2022,2039282.0
STABLE_PRE_MERGE_2022,1879454.0
STABLE_PRE_MERGE_2022,1876451.0
STABLE_PRE_MERGE_2022,1792382.0
STABLE_PRE_MERGE_2022,1773746.0
STABLE_PRE_MERGE_2022,1750430.0
STABLE_PRE_MERGE_2022,1723531.0
STABLE_PRE_MERGE_2022,1653326.0
STABLE_PRE_MERGE_2022,1653326.0
STABLE_PRE_MERGE_2022,1347431.0
STABLE_PRE_MERGE_2022,1330818.0
STABLE_PRE_MERGE_2022,1133258.0
STABLE_PRE_MERGE_2022,980554.0
STABLE_PRE_MERGE_2022,818353.0
STABLE_PRE_MERGE_2022,805417.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,750585.0
STABLE_PRE_MERGE_2022,729190.0
STABLE_PRE_MERGE_2022,527044.0
STABLE_PRE_MERGE_2022,483000.0
STABLE_PRE_MERGE_2022,479093.0
STABLE_PRE_MERGE_2022,421423.0
STABLE_PRE_MERGE_2022,420467.0
STABLE_PRE_MERGE_2022,420000.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,392340.0
STABLE_PRE_MERGE_2022,392340.0
STABLE_PRE_MERGE_2022,388017.0
STABLE_PRE_MERGE_2022,18545487.0
STABLE_PRE_MERGE_2022,13595127.0
STABLE_PRE_MERGE_2022,11400000.0
STABLE_PRE_MERGE_2022,9185927.0
STABLE_PRE_MERGE_2022,8826750.0
STABLE_PRE_MERGE_2022,5265708.0
STABLE_PRE_MERGE_2022,5004241.0
STABLE_PRE_MERGE_2022,4823124.0
STABLE_PRE_MERGE_2022,4659127.0
STABLE_PRE_MERGE_2022,4572953.0
STABLE_PRE_MERGE_2022,4469410.0
STABLE_PRE_MERGE_2022,4284247.0
STABLE_PRE_MERGE_2022,3603901.0
STABLE_PRE_MERGE_2022,3112335.0
STABLE_PRE_MERGE_2022,3059486.0
STABLE_PRE_MERGE_2022,2918962.0
STABLE_PRE_MERGE_2022,2892512.0
STABLE_PRE_MERGE_2022,2752237.0
STABLE_PRE_MERGE_2022,2444447.0
STABLE_PRE_MERGE_2022,1848459.0
STABLE_PRE_MERGE_2022,1800000.0
STABLE_PRE_MERGE_2022,1743269.0
STABLE_PRE_MERGE_2022,1568330.0
STABLE_PRE_MERGE_2022,1475918.0
STABLE_PRE_MERGE_2022,1394975.0
STABLE_PRE_MERGE_2022,1343603.0
STABLE_PRE_MERGE_2022,1278758.0
STABLE_PRE_MERGE_2022,1277279.0
STABLE_PRE_MERGE_2022,1276146.0
STABLE_PRE_MERGE_2022,1133430.0
STABLE_PRE_MERGE_2022,1044384.0
STABLE_PRE_MERGE_2022,980554.0
STABLE_PRE_MERGE_2022,867514.0
STABLE_PRE_MERGE_2022,863673.0
STABLE_PRE_MERGE_2022,805417.0
STABLE_PRE_MERGE_2022,805417.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,768113.0
STABLE_PRE_MERGE_2022,711197.0
STABLE_PRE_MERGE_2022,682123.0
STABLE_PRE_MERGE_2022,547097.0
STABLE_PRE_MERGE_2022,459106.0
STABLE_PRE_MERGE_2022,396975.0
STABLE_PRE_MERGE_2022,392340.0
STABLE_PRE_MERGE_2022,367701.0
STABLE_PRE_MERGE_2022,351368.0
STABLE_PRE_MERGE_2022,346578.0
STABLE_PRE_MERGE_2022,31844169.0
STABLE_PRE_MERGE_2022,20674198.0
STABLE_PRE_MERGE_2022,19425237.0
STABLE_PRE_MERGE_2022,17010015.0
STABLE_PRE_MERGE_2022,13197603.0
STABLE_PRE_MERGE_2022,8098450.0
STABLE_PRE_MERGE_2022,7163770.0
STABLE_PRE_MERGE_2022,6962361.0
STABLE_PRE_MERGE_2022,6454799.0
STABLE_PRE_MERGE_2022,5900998.0
STABLE_PRE_MERGE_2022,5846011.0
STABLE_PRE_MERGE_2022,5340223.0
STABLE_PRE_MERGE_2022,5018346.0
STABLE_PRE_MERGE_2022,4604681.0
STABLE_PRE_MERGE_2022,4469410.0
STABLE_PRE_MERGE_2022,4374251.0
STABLE_PRE_MERGE_2022,4176686.0
STABLE_PRE_MERGE_2022,3585381.0
STABLE_PRE_MERGE_2022,3503402.0
STABLE_PRE_MERGE_2022,3112335.0
STABLE_PRE_MERGE_2022,3109322.0
STABLE_PRE_MERGE_2022,2470212.0
STABLE_PRE_MERGE_2022,2383260.0
STABLE_PRE_MERGE_2022,2213760.0
STABLE_PRE_MERGE_2022,2080000.0
STABLE_PRE_MERGE_2022,2038989.0
STABLE_PRE_MERGE_2022,1750140.0
STABLE_PRE_MERGE_2022,1654607.0
STABLE_PRE_MERGE_2022,1001188.0
STABLE_PRE_MERGE_2022,818353.0
STABLE_PRE_MERGE_2022,786507.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,734593.0
STABLE_PRE_MERGE_2022,547039.0
STABLE_PRE_MERGE_2022,522060.0
STABLE_PRE_MERGE_2022,469927.0
STABLE_PRE_MERGE_2022,420467.0
STABLE_PRE_MERGE_2022,420467.0
STABLE_PRE_MERGE_2022,414489.0
STABLE_PRE_MERGE_2022,388437.0
STABLE_PRE_MERGE_2022,380538.0
STABLE_PRE_MERGE_2022,336843.0
STABLE_PRE_MERGE_2022,225000000.0
STABLE_PRE_MERGE_2022,99055750.0
STABLE_PRE_MERGE_2022,22471254.0
STABLE_PRE_MERGE_2022,13197603.0
STABLE_PRE_MERGE_2022,9318235.0
STABLE_PRE_MERGE_2022,7406522.0
STABLE_PRE_MERGE_2022,7395982.0
STABLE_PRE_MERGE_2022,7117565.0
STABLE_PRE_MERGE_2022,5280257.0
STABLE_PRE_MERGE_2022,5063838.0
STABLE_PRE_MERGE_2022,4659127.0
STABLE_PRE_MERGE_2022,4644065.0
STABLE_PRE_MERGE_2022,4551940.0
STABLE_PRE_MERGE_2022,4551940.0
STABLE_PRE_MERGE_2022,4228509.0
STABLE_PRE_MERGE_2022,4149702.0
STABLE_PRE_MERGE_2022,4065763.0
STABLE_PRE_MERGE_2022,3603901.0
STABLE_PRE_MERGE_2022,3522350.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,3397867.0
STABLE_PRE_MERGE_2022,3256945.0
STABLE_PRE_MERGE_2022,3176060.0
STABLE_PRE_MERGE_2022,3105630.0
STABLE_PRE_MERGE_2022,2601212.0
STABLE_PRE_MERGE_2022,2601212.0
STABLE_PRE_MERGE_2022,2516686.0
STABLE_PRE_MERGE_2022,2213760.0
STABLE_PRE_MERGE_2022,1926314.0
STABLE_PRE_MERGE_2022,1906780.0
STABLE_PRE_MERGE_2022,1807090.0
STABLE_PRE_MERGE_2022,1725052.0
