period,block_number,gas_fee_gwei
STABLE_PRE_MERGE_2022,15000000,1032701.576728
STABLE_PRE_MERGE_2022,15000000,1082671.00786
STABLE_PRE_MERGE_2022,15000000,1032701.576728
STABLE_PRE_MERGE_2022,15000000,777557.661368008
STABLE_PRE_MERGE_2022,15000000,767114.05026142
STABLE_PRE_MERGE_2022,15000000,768113.43888406
STABLE_PRE_MERGE_2022,15000000,1559096.220749532
STABLE_PRE_MERGE_2022,15000000,855393.37859462
STABLE_PRE_MERGE_2022,15000000,2748851.719525408
STABLE_PRE_MERGE_2022,15000000,2723750.4086201
STABLE_PRE_MERGE_2022,15000000,4046058.151712128
STABLE_PRE_MERGE_2022,15000000,2364686.732982592
STABLE_PRE_MERGE_2022,15000000,779123.370210144
STABLE_PRE_MERGE_2022,15000000,3718408.591779604
STABLE_PRE_MERGE_2022,15000000,875281.212185156
STABLE_PRE_MERGE_2022,15000000,776458.333883104
STABLE_PRE_MERGE_2022,15000000,982015.917083108
STABLE_PRE_MERGE_2022,15000000,771811.176787828
STABLE_PRE_MERGE_2022,15000000,2394368.575075
STABLE_PRE_MERGE_2022,15000000,1573687.294640076
STABLE_PRE_MERGE_2022,15000000,1977756.771250472
STABLE_PRE_MERGE_2022,15000000,773543.450400404
STABLE_PRE_MERGE_2022,15000000,2138208.614615324
STABLE_PRE_MERGE_2022,15000000,2517409.970999028
STABLE_PRE_MERGE_2022,15000000,1012297.3923491
STABLE_PRE_MERGE_2022,15000000,1573887.172364604
STABLE_PRE_MERGE_2022,15000000,1058852.24568708
STABLE_PRE_MERGE_2022,15000000,820198.242600648
STABLE_PRE_MERGE_2022,15000000,1103375.008825692
STABLE_PRE_MERGE_2022,15000000,2518209.48189714
STABLE_PRE_MERGE_2022,15000000,3080815.307012328
STABLE_PRE_MERGE_2022,15000000,4046058.151712128
STABLE_PRE_MERGE_2022,15000000,15926806.754133493
STABLE_PRE_MERGE_2022,15000000,2518209.48189714
STABLE_PRE_MERGE_2022,15000000,3761848.683910356
STABLE_PRE_MERGE_2022,15000000,4747095.95754
STABLE_PRE_MERGE_2022,15000000,767697.02695796
STABLE_PRE_MERGE_2022,15000000,2401281.01304826
STABLE_PRE_MERGE_2022,15000000,2646164.538549148
STABLE_PRE_MERGE_2022,15000000,14924918.4993
STABLE_PRE_MERGE_2022,15000000,347370.088317
STABLE_PRE_MERGE_2022,15000000,4405420.42164816
STABLE_PRE_MERGE_2022,15000000,1624258.55422874
STABLE_PRE_MERGE_2022,15000000,1480846.77135
STABLE_PRE_MERGE_2022,15000000,3331151.404325628
STABLE_PRE_MERGE_2022,15000000,8138238.522
STABLE_PRE_MERGE_2022,15000000,4847243.1132
STABLE_PRE_MERGE_2022,15000000,339307.017924
STABLE_PRE_MERGE_2022,15000000,3133209.436665876
STABLE_PRE_MERGE_2022,15000000,4039119.261
STABLE_PRE_MERGE_2022,15000000,4039119.261
STABLE_PRE_MERGE_2022,15000000,3390210.517004784
STABLE_PRE_MERGE_2022,15000000,4039119.261
STABLE_PRE_MERGE_2022,15000000,800424.185713848
STABLE_PRE_MERGE_2022,15000000,4385223.312236568
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,3953409.15028158
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,8078238.522
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,640071.151052148
STABLE_PRE_MERGE_2022,15000000,5424181.725028032
STABLE_PRE_MERGE_2022,15000000,2819321.400655044
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,1536238.61972874
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,1531553.24138598
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,9777883.750551756
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,496520.852516208
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,1316106.62000424
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,4276280.187528876
STABLE_PRE_MERGE_2022,15000000,800424.185713848
STABLE_PRE_MERGE_2022,15000000,1986907.390394076
STABLE_PRE_MERGE_2022,15000000,5223970.661498784
STABLE_PRE_MERGE_2022,15000000,1792480.34564658
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,2759413.183775892
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,1986616.573807284
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,3346458.777169632
STABLE_PRE_MERGE_2022,15000000,10123325.38622952
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,339286.017924
STABLE_PRE_MERGE_2022,15000000,336031.017924
STABLE_PRE_MERGE_2022,15000000,960113.088552352
STABLE_PRE_MERGE_2022,15000000,4509302.551105896
STABLE_PRE_MERGE_2022,15000000,4468000.0
STABLE_PRE_MERGE_2022,15000000,1040000.0
STABLE_PRE_MERGE_2022,15000000,336000.0
