period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
STABLE_POST_MERGE_2022,16000943,2961990.0901003433,1322424.86265,473918414.41605496,160
STABLE_POST_MERGE_2022,16000944,2179313.6017625434,918771.826860472,211393419.3709667,97
STABLE_POST_MERGE_2022,16000945,3765262.440353824,1100695.1222448614,549728316.2916583,146
STABLE_POST_MERGE_2022,16000946,7779168.875079364,1794694.717753686,676787692.1319046,87
STABLE_POST_MERGE_2022,16000947,2444725.868942978,1490964.7728046135,254251490.37006968,104
STABLE_POST_MERGE_2022,16000948,2798708.656457915,1905601.990925,229494109.82954904,82
STABLE_POST_MERGE_2022,16000949,1922546.5332519887,860138.449312962,286459433.45454633,149
STABLE_POST_MERGE_2022,16000950,3417749.578835042,1614830.05307,365699204.9353495,107
STABLE_POST_MERGE_2022,16000951,5139825.7845217595,1494796.2440820734,555101184.72835,108
STABLE_POST_MERGE_2022,16000952,2109219.6083968948,1348249.34966652,297399964.78396213,141
STABLE_POST_MERGE_2022,16000953,2823455.154281952,1232979.4977081749,457399734.9936762,162
STABLE_POST_MERGE_2022,16000954,2401473.437508048,1692392.741358435,268965025.0009014,112
STABLE_POST_MERGE_2022,16000955,5637619.086294587,1658611.1210196,501748098.6802182,89
STABLE_POST_MERGE_2022,16000956,3351954.055057369,1260000.0,358659083.8911385,107
STABLE_POST_MERGE_2022,16000957,3461433.165715022,1179360.116264455,294221819.08577687,85
STABLE_POST_MERGE_2022,16000958,1904932.0191520322,886583.276856026,222877046.24078777,117
STABLE_POST_MERGE_2022,16000959,6419403.207978796,1387519.688256399,885877642.7010739,138
STABLE_POST_MERGE_2022,16000960,5149774.04564768,1622184.96555,530426726.70171106,103
STABLE_POST_MERGE_2022,16000961,3588027.6770463036,1069398.0,398271072.1521397,111
STABLE_POST_MERGE_2022,16000962,2013214.413967389,805794.1348987725,213400727.88054323,106
STABLE_POST_MERGE_2022,16000963,5193766.14337191,1171946.206518729,638833235.6347449,123
STABLE_POST_MERGE_2022,16000964,18272015.049244314,2915705.495729224,2539810091.8449597,139
STABLE_POST_MERGE_2022,16000965,1766790.5646675755,703500.0,335690207.28683937,190
STABLE_POST_MERGE_2022,16000966,8717645.350521963,703500.0,1368670320.0319483,157
STABLE_POST_MERGE_2022,16000967,3419146.9805859206,1086072.296475,495776312.18495846,145
STABLE_POST_MERGE_2022,16000968,1653451.1465007325,724500.0,286047048.3446267,173
STABLE_POST_MERGE_2022,16000969,3794158.123407555,724500.0,626036090.3622465,165
STABLE_POST_MERGE_2022,16000970,2641884.866127836,1215645.990765794,253620947.14827228,96
STABLE_POST_MERGE_2022,16000971,2215342.209420843,1013845.194407149,239256958.61745107,108
STABLE_POST_MERGE_2022,16000972,2735120.8482107352,1538599.675060662,322744260.0888668,118
STABLE_POST_MERGE_2022,16000973,2562026.0400813944,1048330.32791445,312567176.8899301,122
STABLE_POST_MERGE_2022,16000974,3652362.0421794606,1095066.7822571471,328712583.79615146,90
STABLE_POST_MERGE_2022,16000975,2060631.215944047,1187891.965961901,197820596.73062852,96
STABLE_POST_MERGE_2022,16000976,3994370.8580735796,945000.0,459352648.6784617,115
STABLE_POST_MERGE_2022,16000977,2149493.2522660457,1148613.076164516,182706926.44261387,85
STABLE_POST_MERGE_2022,16000978,3056512.308195935,652207.995890124,375951013.9081,123
STABLE_POST_MERGE_2022,16000979,1239449.9764530016,1038407.05996236,11155049.788077015,9
STABLE_POST_MERGE_2022,16000980,3295870.328519509,1720990.421695075,672357547.0179799,204
STABLE_POST_MERGE_2022,16000981,4677780.248168062,1299019.4374000002,654889234.7435287,140
STABLE_POST_MERGE_2022,16000982,4555472.456400211,1245549.93363,478324607.92202216,105
STABLE_POST_MERGE_2022,16000983,3540822.493197352,1378562.660241312,421357876.6904849,119
STABLE_POST_MERGE_2022,16000984,4668021.832621771,1105000.0,480806248.76004237,103
STABLE_POST_MERGE_2022,16000985,6333642.217367292,1546452.95624164,665032432.8235657,105
STABLE_POST_MERGE_2022,16000986,6470446.180729493,1279400.67486,782923987.8682686,121
STABLE_POST_MERGE_2022,16000987,2345717.3283464136,1620921.44152452,215805994.20787007,92
STABLE_POST_MERGE_2022,16000988,1769866.1470616066,842785.135649142,189375677.73559192,107
STABLE_POST_MERGE_2022,16000989,4123964.710553966,797968.677985865,383528718.0815188,93
STABLE_POST_MERGE_2022,16000990,2423180.1591312964,1229937.515552177,329552501.6418563,136
STABLE_POST_MERGE_2022,16000991,3443363.0280216173,1016977.28641399,423533652.4466589,123
STABLE_POST_MERGE_2022,16000992,2820991.61900803,1224946.46142,248247262.47270662,88
STABLE_POST_MERGE_2022,16000993,4268455.058246454,1050000.0,456724691.2323706,107
STABLE_POST_MERGE_2022,16000994,2001733.0639058778,929047.263962274,148128246.72903496,74
STABLE_POST_MERGE_2022,16000995,2361207.8787441915,932314.180517439,285706153.32804716,121
STABLE_POST_MERGE_2022,16000996,2881451.441339837,838163.1438089369,340011270.07810074,118
STABLE_POST_MERGE_2022,16000997,4420076.397341559,1142646.5573046426,406647028.5554234,92
STABLE_POST_MERGE_2022,16000998,2416513.398299273,1123197.066999071,236818313.03332877,98
STABLE_POST_MERGE_2022,16000999,2153362.2201167326,1017799.324000138,167962253.16910514,78
STABLE_POST_MERGE_2022,16001000,3950401.0360744684,1935608.267998188,501700931.5814575,127
USDC_DEPEG_MARCH_2023,16900000,14467894.957767976,3436471.56105755,1533596865.5234056,106
USDC_DEPEG_MARCH_2023,16900001,12053984.460236164,1082525.530715,96431875.68188931,8
USDC_DEPEG_MARCH_2023,16900002,7291424.439704258,2725730.8314,1370787794.6644006,188
USDC_DEPEG_MARCH_2023,16900003,8425557.654855167,2909310.65115,1803069338.139006,214
USDC_DEPEG_MARCH_2023,16900004,6170475.393609332,3600096.0024484606,851525604.3180878,138
USDC_DEPEG_MARCH_2023,16900005,6136837.14104838,5292698.964221721,816199339.7594346,133
USDC_DEPEG_MARCH_2023,16900006,6211536.313142581,2838091.332803925,1105653463.7393794,178
USDC_DEPEG_MARCH_2023,16900007,12569254.757715255,5916954.715647048,1822541939.868712,145
USDC_DEPEG_MARCH_2023,16900008,4973923.703344225,2538459.117687045,567027302.1812416,114
USDC_DEPEG_MARCH_2023,16900009,8119461.636926694,2663959.1312695993,1315352785.1821244,162
USDC_DEPEG_MARCH_2023,16900010,5807972.792837792,2071145.795967924,604029170.4551303,104
USDC_DEPEG_MARCH_2023,16900011,9599914.715867141,2900782.5336853,1449587122.0959382,151
USDC_DEPEG_MARCH_2023,16900012,7295099.406359735,3415830.80687018,1568446372.367343,215
USDC_DEPEG_MARCH_2023,16900013,8016124.384877049,2387802.12248,1082176791.9584017,135
USDC_DEPEG_MARCH_2023,16900014,13727957.48342076,7982545.74466412,247103234.70157367,18
USDC_DEPEG_MARCH_2023,16900015,11461642.252700329,3400562.3182866727,3507262529.3263006,306
USDC_DEPEG_MARCH_2023,16900016,8088618.9965784075,2536099.44254112,784596042.6681055,97
