block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
251,validator_15,160000000000,56483000,701390,57184390,True,5
252,validator_12,480000000000,13587000,0,13587000,True,15
253,validator_11,320000000000,5693000,707300,6400300,True,10
254,validator_15,160000000000,7585000,115100,7700100,True,5
255,validator_6,160000000000,16154000,64100,16218100,True,5
256,validator_6,160000000000,2594000,44640,2638640,True,5
257,validator_7,480000000000,2500000,705000,3205000,True,15
258,validator_15,160000000000,52452000,109640,52561640,True,5
259,validator_5,32000000000,2447000,0,2447000,False,1
260,validator_17,32000000000,1760000,0,1760000,False,1
261,validator_18,32000000000,4659000,66100,4725100,True,1
262,validator_16,32000000000,4040000,146000,4186000,True,1
263,validator_3,160000000000,62907000,455540,63362540,True,5
264,validator_16,32000000000,28823000,1873000,30696000,True,1
265,validator_12,480000000000,7360000,594000,7954000,True,15
266,validator_11,320000000000,24510000,17700000,42210000,True,10
267,validator_12,480000000000,3190000,410000,3600000,True,15
268,validator_15,160000000000,6300000,0,6300000,True,5
269,validator_12,480000000000,153082000,11966940,165048940,True,15
270,validator_14,480000000000,49602000,395440,49997440,True,15
271,validator_7,480000000000,6105000,186700,6291700,True,15
272,validator_11,320000000000,5170000,0,5170000,True,10
273,validator_0,160000000000,82148000,75000,82223000,True,5
274,validator_10,320000000000,10613000,17739400,28352400,True,10
275,validator_7,480000000000,66478000,21330,66499330,True,15
276,validator_19,32000000000,2690000,13900,2703900,False,1
277,validator_3,160000000000,7064000,0,7064000,True,5
278,validator_8,320000000000,28460000,354800,28814800,False,10
279,validator_9,64000000000,1292000,296000,1588000,True,2
280,validator_4,64000000000,3968000,0,3968000,False,2
281,validator_4,64000000000,910000,0,910000,False,2
282,validator_11,320000000000,2500000,5630,2505630,True,10
283,validator_10,320000000000,17300000,143700,17443700,True,10
284,validator_14,480000000000,24010000,587540,24597540,True,15
285,validator_3,160000000000,2600000,49100,2649100,True,5
286,validator_2,160000000000,6060000,0,6060000,True,5
287,validator_10,320000000000,4076000,0,4076000,True,10
288,validator_3,160000000000,31273000,0,31273000,True,5
289,validator_14,480000000000,8780000,777520,9557520,True,15
290,validator_11,320000000000,62601000,1067400,63668400,True,10
291,validator_7,480000000000,60614000,7916500,68530500,True,15
292,validator_17,32000000000,27084000,0,27084000,False,1
293,validator_7,480000000000,7660000,0,7660000,True,15
294,validator_14,480000000000,9947000,623200,10570200,True,15
295,validator_1,64000000000,9220000,46500,9266500,True,2
